order_id,user_id,product_id,quantity,order_date,order_status,payment_method,unit_price,total_amount,discount,actual_payment,delivery_date,receive_date,review_score,review_content,order_date_date
O00000013,U003983,P000903,1,2025/12/25 22:38,已发货,银行卡,427.8,372.57,26.87,345.7,2025/12/26 22:38,,,,2025-12-25
O00000014,U001371,P001794,5,2025/10/6 22:38,已完成,花呗,835.74,3846.81,101.92,3744.89,2025/10/7 22:38,2025/10/10 22:38,,,2025-10-06
O00000015,U003655,P001896,5,2025/10/5 22:38,待付款,银行卡,187.0,925.33,160.87,764.46,,,,,2025-10-05
O00000016,U003775,P000674,3,2025/11/23 22:38,已收货,花呗,432.71,1201.26,343.19,858.07,2025/11/26 22:38,2025/11/28 22:38,,,2025-11-23
O00000017,U001973,P000644,2,2025/12/28 22:38,已完成,信用卡,698.1,1209.81,240.23,969.58,2026/1/2 22:38,2026/1/5 22:38,,,2025-12-28
O00000018,U002190,P001585,3,2025/11/8 22:38,已付款,支付宝,754.16,2074.75,543.12,1531.63,,,,,2025-11-08
O00000019,U000653,P001937,5,2026/1/22 22:38,已取消,花呗,741.36,3299.8,470.72,2829.08,,,,,2026-01-22
O00000020,U003284,P001351,1,2026/1/9 22:38,已取消,微信支付,433.64,425.66,57.65,368.01,,,,,2026-01-09
O00000021,U002087,P001676,5,2025/11/14 22:38,已退款,银行卡,551.02,2353.39,671.9,1681.49,,,,,2025-11-14
O00000022,U001872,P000204,1,2025/11/25 22:38,已完成,信用卡,2502.34,2241.31,1.12,2240.19,2025/11/29 22:38,2025/12/2 22:38,,,2025-11-25
O00000023,U004284,P000074,3,2026/2/12 22:38,已付款,微信支付,416.78,1201.27,101.01,1100.26,,,,,2026-02-12
O00000024,U001441,P001196,3,2026/2/14 22:38,已完成,花呗,419.8,1152.29,60.19,1092.1,2026/2/16 22:38,2026/2/19 22:38,5,下次还会购买,2026-02-14
O00000025,U001377,P001881,3,2025/11/8 22:38,已完成,花呗,3830.15,10977.58,2053.36,8924.22,2025/11/11 22:38,2025/11/13 22:38,5,好评！,2025-11-08
O00000026,U000762,P000433,3,2025/11/23 22:38,已付款,花呗,836.84,2263.3,273.07,1990.23,,,,,2025-11-23
O00000027,U001546,P000124,3,2026/2/15 22:38,已收货,支付宝,457.53,1334.81,6.06,1328.75,2026/2/18 22:38,2026/2/20 22:38,,,2026-02-15
O00000028,U003904,P000069,1,2025/12/26 22:38,已完成,银行卡,283.44,276.21,51.18,225.03,2025/12/28 22:38,2025/12/29 22:38,5,包装很好,2025-12-26
O00000029,U000845,P001041,1,2025/10/30 22:38,已完成,花呗,280.22,273.61,29.57,244.04,2025/11/4 22:38,2025/11/6 22:38,4,,2025-10-30
O00000030,U002051,P000503,3,2026/3/2 22:38,已收货,银行卡,2302.71,6816.77,1756.28,5060.49,2026/3/3 22:38,2026/3/6 22:38,,,2026-03-02
O00000031,U000700,P000166,3,2026/1/22 22:38,待付款,银行卡,5412.3,16012.01,2092.67,13919.34,,,,,2026-01-22
O00000032,U003159,P000754,1,2025/11/11 22:38,已完成,信用卡,389.13,347.91,8.02,339.89,2025/11/15 22:38,2025/11/18 22:38,5,,2025-11-11
O00000033,U002970,P001336,1,2025/9/30 22:38,已付款,微信支付,300.19,266.15,79.04,187.11,,,,,2025-09-30
O00000034,U003281,P000501,3,2025/9/12 22:38,已付款,支付宝,348.37,1037.67,21.65,1016.02,,,,,2025-09-12
O00000035,U004317,P000957,2,2025/9/14 22:38,已付款,信用卡,377.19,682.71,155.56,527.15,,,,,2025-09-14
O00000036,U004256,P001227,4,2025/12/29 22:38,已取消,信用卡,4831.31,19313.14,4271.77,15041.37,,,,,2025-12-29
O00000037,U001896,P001389,2,2025/9/22 22:38,已完成,微信支付,843.24,1492.35,275.39,1216.96,2025/9/25 22:38,2025/9/26 22:38,5,,2025-09-22
O00000038,U001314,P001110,2,2026/2/18 22:38,已完成,微信支付,900.51,1771.87,345.1,1426.77,2026/2/20 22:38,2026/2/22 22:38,4,下次还会购买,2026-02-18
O00000039,U000871,P000084,5,2025/12/30 22:38,已完成,支付宝,521.34,2536.72,154.76,2381.96,2026/1/1 22:38,2026/1/4 22:38,,,2025-12-30
O00000040,U000991,P001267,4,2025/10/6 22:38,已发货,银行卡,4492.24,16001.58,1605.01,14396.57,2025/10/11 22:38,,,,2025-10-06
O00000041,U002549,P001312,3,2025/10/22 22:38,已收货,花呗,410.51,1095.64,310.74,784.9,2025/10/27 22:38,2025/10/30 22:38,,,2025-10-22
O00000042,U000294,P001592,3,2025/9/17 22:38,已取消,银行卡,1056.79,3145.35,862.31,2283.04,,,,,2025-09-17
O00000043,U003157,P000983,2,2025/11/26 22:38,已完成,银行卡,262.61,495.59,44.54,451.05,2025/11/28 22:38,2025/12/1 22:38,5,下次还会购买,2025-11-26
O00000044,U000662,P000663,5,2026/2/15 22:38,已完成,信用卡,804.29,3872.81,783.64,3089.17,2026/2/19 22:38,2026/2/22 22:38,4,物美价廉,2026-02-15
O00000045,U004277,P001858,2,2026/2/8 22:38,已取消,微信支付,6302.1,10769.47,57.74,10711.73,,,,,2026-02-08
O00000046,U003668,P001645,1,2026/2/7 22:38,已收货,花呗,1183.41,1182.45,51.36,1131.09,2026/2/10 22:38,2026/2/12 22:38,,,2026-02-07
O00000047,U004566,P000835,2,2025/11/11 22:38,已完成,花呗,168.95,298.5,44.29,254.21,2025/11/15 22:38,2025/11/16 22:38,5,好评！,2025-11-11
O00000048,U003970,P000481,2,2026/1/21 22:38,已收货,支付宝,688.51,1207.87,320.48,887.39,2026/1/23 22:38,2026/1/25 22:38,,,2026-01-21
O00000049,U001223,P001157,1,2025/12/27 22:38,已完成,信用卡,842.1,840.28,224.0,616.28,2025/12/29 22:38,2026/1/1 22:38,4,包装很好,2025-12-27
O00000050,U001830,P001943,1,2025/11/10 22:38,已收货,微信支付,304.38,261.08,70.95,190.13,2025/11/11 22:38,2025/11/13 22:38,,,2025-11-10
O00000051,U001337,P000895,2,2025/9/12 22:38,已完成,微信支付,4244.03,8101.33,2070.59,6030.74,2025/9/17 22:38,2025/9/19 22:38,4,物美价廉,2025-09-12
O00000052,U004897,P001587,5,2025/10/15 22:38,已完成,微信支付,844.21,4120.76,546.32,3574.44,2025/10/17 22:38,2025/10/18 22:38,4,下次还会购买,2025-10-15
O00000053,U002993,P000665,1,2025/9/29 22:38,已完成,信用卡,344.03,327.4,78.93,248.47,2025/10/4 22:38,2025/10/5 22:38,5,,2025-09-29
O00000054,U002012,P000024,4,2026/2/2 22:38,已发货,支付宝,918.72,3258.74,491.3,2767.44,2026/2/7 22:38,,,,2026-02-02
O00000055,U003868,P001822,1,2025/12/30 22:38,已完成,支付宝,662.38,577.34,77.87,499.47,2026/1/1 22:38,2026/1/4 22:38,,,2025-12-30
O00000056,U004862,P001331,3,2025/9/16 22:38,已付款,银行卡,413.48,1192.37,26.45,1165.92,,,,,2025-09-16
O00000057,U001215,P001054,1,2025/11/19 22:38,已完成,花呗,933.57,846.86,159.82,687.04,2025/11/20 22:38,2025/11/21 22:38,4,很满意,2025-11-19
O00000058,U001718,P000072,1,2025/12/6 22:38,已取消,信用卡,760.79,750.03,135.64,614.39,,,,,2025-12-06
O00000059,U000134,P000430,4,2026/1/3 22:38,已完成,支付宝,967.49,3396.07,406.6,2989.47,2026/1/4 22:38,2026/1/5 22:38,4,包装很好,2026-01-03
O00000060,U000446,P001649,5,2025/12/25 22:38,已发货,微信支付,940.22,4054.95,488.82,3566.13,2025/12/28 22:38,,,,2025-12-25
O00000061,U001572,P000740,2,2025/11/28 22:38,已收货,花呗,334.02,582.68,63.97,518.71,2025/11/29 22:38,2025/12/1 22:38,,,2025-11-28
O00000062,U001142,P001721,4,2026/2/13 22:38,已发货,支付宝,627.66,2259.36,282.77,1976.59,2026/2/16 22:38,,,,2026-02-13
O00000063,U003219,P001437,4,2025/9/27 22:38,已发货,支付宝,412.45,1569.25,126.48,1442.77,2025/9/28 22:38,,,,2025-09-27
O00000064,U004998,P000213,4,2025/9/22 22:38,已完成,花呗,983.62,3855.32,547.16,3308.16,2025/9/24 22:38,2025/9/26 22:38,5,物美价廉,2025-09-22
O00000065,U001954,P002000,5,2026/1/20 22:38,已付款,微信支付,230.03,1041.52,168.66,872.86,,,,,2026-01-20
O00000066,U003080,P000758,2,2025/12/31 22:38,已收货,支付宝,747.57,1415.4,238.01,1177.39,2026/1/1 22:38,2026/1/2 22:38,,,2025-12-31
O00000067,U001705,P000062,1,2026/2/25 22:38,已完成,花呗,882.84,756.31,201.12,555.19,2026/2/28 22:38,2026/3/2 22:38,4,很满意,2026-02-25
O00000068,U000111,P001623,3,2026/3/5 22:38,已取消,微信支付,1795.17,5084.87,636.78,4448.09,,,,,2026-03-05
O00000069,U000883,P001053,4,2026/2/10 22:38,已完成,支付宝,169.86,620.7,32.12,588.58,2026/2/11 22:38,2026/2/12 22:38,4,下次还会购买,2026-02-10
O00000070,U003318,P000677,2,2026/1/29 22:38,已完成,花呗,446.17,836.74,218.3,618.44,2026/2/2 22:38,2026/2/3 22:38,5,包装很好,2026-01-29
O00000071,U000150,P000346,5,2026/2/21 22:38,已完成,微信支付,191.04,846.81,66.52,780.29,2026/2/26 22:38,2026/2/28 22:38,,,2026-02-21
O00000072,U004694,P001517,5,2026/1/25 22:38,已收货,信用卡,633.5,2906.6,489.81,2416.79,2026/1/28 22:38,2026/1/29 22:38,,,2026-01-25
O00000073,U000786,P000600,2,2025/10/8 22:38,已收货,支付宝,1384.73,2479.56,520.17,1959.39,2025/10/13 22:38,2025/10/16 22:38,,,2025-10-08
O00000074,U002155,P000125,4,2025/10/28 22:38,已完成,花呗,1540.74,5909.94,531.17,5378.77,2025/11/2 22:38,2025/11/3 22:38,,,2025-10-28
O00000075,U004989,P000552,3,2025/10/7 22:38,已收货,信用卡,770.83,2119.59,428.07,1691.52,2025/10/9 22:38,2025/10/10 22:38,,,2025-10-07
O00000076,U003608,P001207,5,2025/9/24 22:38,已完成,银行卡,226.41,1012.7,17.53,995.17,2025/9/25 22:38,2025/9/26 22:38,5,下次还会购买,2025-09-24
O00000077,U001251,P001659,1,2025/12/6 22:38,已完成,银行卡,1536.24,1475.28,438.88,1036.4,2025/12/9 22:38,2025/12/10 22:38,5,包装很好,2025-12-06
O00000078,U001219,P001562,5,2025/12/4 22:38,已完成,微信支付,965.26,4552.11,876.69,3675.42,2025/12/9 22:38,2025/12/11 22:38,,,2025-12-04
O00000079,U001369,P000506,3,2025/12/17 22:38,已收货,银行卡,1535.82,4272.37,85.71,4186.66,2025/12/20 22:38,2025/12/23 22:38,,,2025-12-17
O00000080,U001620,P000667,2,2025/10/22 22:38,已发货,微信支付,4439.48,7678.42,844.11,6834.31,2025/10/23 22:38,,,,2025-10-22
O00000081,U003111,P000459,2,2026/2/2 22:38,待付款,信用卡,6583.06,12560.5,1218.77,11341.73,,,,,2026-02-02
O00000082,U000089,P001017,4,2025/11/8 22:38,已发货,微信支付,1269.98,4756.58,1384.11,3372.47,2025/11/10 22:38,,,,2025-11-08
O00000083,U002237,P001075,5,2026/1/20 22:38,已完成,微信支付,878.53,4009.94,1150.78,2859.16,2026/1/25 22:38,2026/1/26 22:38,,,2026-01-20
O00000084,U001886,P001755,1,2025/11/22 22:38,已完成,信用卡,155.12,146.15,19.64,126.51,2025/11/25 22:38,2025/11/27 22:38,4,好评！,2025-11-22
O00000085,U000556,P001390,4,2025/11/3 22:38,已完成,信用卡,400.28,1458.28,94.31,1363.97,2025/11/5 22:38,2025/11/8 22:38,4,很满意,2025-11-03
O00000086,U000232,P001143,2,2025/9/10 22:38,已完成,信用卡,741.43,1410.67,28.01,1382.66,2025/9/12 22:38,2025/9/14 22:38,5,包装很好,2025-09-10
O00000087,U004892,P001302,3,2026/1/6 22:38,已发货,信用卡,876.83,2586.97,89.2,2497.77,2026/1/10 22:38,,,,2026-01-06
O00000088,U002334,P001857,3,2026/2/15 22:38,已完成,花呗,783.73,2216.33,165.73,2050.6,2026/2/19 22:38,2026/2/20 22:38,4,下次还会购买,2026-02-15
O00000089,U003123,P001702,1,2025/9/16 22:38,已发货,微信支付,389.03,387.32,18.59,368.73,2025/9/21 22:38,,,,2025-09-16
O00000090,U002002,P000731,4,2026/1/28 22:38,已收货,微信支付,937.23,3687.65,1031.29,2656.36,2026/1/29 22:38,2026/1/30 22:38,,,2026-01-28
O00000091,U004928,P000513,1,2025/10/10 22:38,已完成,银行卡,1155.73,1147.71,304.55,843.16,2025/10/15 22:38,2025/10/18 22:38,,,2025-10-10
O00000092,U001460,P001551,1,2026/1/12 22:38,已收货,微信支付,605.73,588.33,72.81,515.52,2026/1/17 22:38,2026/1/20 22:38,,,2026-01-12
O00000093,U001911,P000267,5,2025/12/23 22:38,已完成,支付宝,3985.26,18694.13,540.63,18153.5,2025/12/27 22:38,2025/12/29 22:38,4,好评！,2025-12-23
O00000094,U000485,P000952,3,2026/2/23 22:38,已完成,支付宝,403.58,1055.11,125.44,929.67,2026/2/25 22:38,2026/2/26 22:38,5,物美价廉,2026-02-23
O00000095,U001934,P000678,5,2025/12/31 22:38,已取消,支付宝,398.71,1706.42,172.54,1533.88,,,,,2025-12-31
O00000096,U003811,P001373,1,2025/11/9 22:38,已发货,支付宝,749.59,645.8,30.17,615.63,2025/11/13 22:38,,,,2025-11-09
O00000097,U002870,P000694,5,2026/1/22 22:38,已发货,微信支付,972.44,4351.03,1009.29,3341.74,2026/1/25 22:38,,,,2026-01-22
O00000098,U000177,P001246,1,2026/2/10 22:38,已收货,信用卡,1624.75,1551.32,384.18,1167.14,2026/2/11 22:38,2026/2/14 22:38,,,2026-02-10
O00000099,U003056,P000535,1,2026/2/15 22:38,已完成,银行卡,123.02,112.64,9.73,102.91,2026/2/18 22:38,2026/2/19 22:38,4,包装很好,2026-02-15
O00000100,U000828,P001130,4,2025/11/5 22:38,已收货,信用卡,7416.93,25433.93,5289.69,20144.24,2025/11/10 22:38,2025/11/11 22:38,,,2025-11-05
O00000101,U000257,P001626,4,2025/12/31 22:38,已完成,微信支付,913.47,3530.87,975.97,2554.9,2026/1/2 22:38,2026/1/5 22:38,4,好评！,2025-12-31
O00000102,U000563,P001445,1,2025/12/1 22:38,已完成,银行卡,3864.89,3345.38,829.04,2516.34,2025/12/6 22:38,2025/12/7 22:38,4,好评！,2025-12-01
O00000103,U004902,P000947,3,2025/9/24 22:38,已完成,支付宝,452.88,1175.83,191.0,984.83,2025/9/26 22:38,2025/9/27 22:38,,,2025-09-24
O00000104,U000578,P000317,3,2025/9/19 22:38,已取消,微信支付,270.46,723.97,2.82,721.15,,,,,2025-09-19
O00000105,U004465,P001618,5,2025/11/17 22:38,已付款,信用卡,466.17,2013.97,315.0,1698.97,,,,,2025-11-17
O00000106,U003012,P000591,2,2026/2/18 22:38,已完成,银行卡,111.35,207.72,42.63,165.09,2026/2/22 22:38,2026/2/25 22:38,5,下次还会购买,2026-02-18
O00000107,U001123,P001384,3,2026/1/27 22:38,已完成,微信支付,935.23,2508.43,355.34,2153.09,2026/1/30 22:38,2026/2/1 22:38,,,2026-01-27
O00000108,U000702,P000918,5,2025/11/19 22:38,已完成,微信支付,480.47,2387.41,42.17,2345.24,2025/11/22 22:38,2025/11/25 22:38,,,2025-11-19
O00000109,U001703,P001858,4,2025/11/5 22:38,待付款,花呗,6302.1,22931.44,6293.09,16638.35,,,,,2025-11-05
O00000110,U002795,P001909,1,2026/2/16 22:38,已完成,微信支付,602.01,526.54,146.27,380.27,2026/2/17 22:38,2026/2/18 22:38,4,,2026-02-16
O00000111,U003477,P001280,2,2025/12/16 22:38,已发货,花呗,227.9,388.27,64.51,323.76,2025/12/21 22:38,,,,2025-12-16
O00000112,U001621,P001591,4,2026/2/25 22:38,已取消,微信支付,809.4,3032.3,357.32,2674.98,,,,,2026-02-25
O00000113,U000890,P000835,1,2025/11/23 22:38,已收货,银行卡,168.95,157.43,30.81,126.62,2025/11/25 22:38,2025/11/26 22:38,,,2025-11-23
O00000114,U000228,P001306,2,2026/1/26 22:38,已完成,银行卡,164.32,298.73,74.1,224.63,2026/1/29 22:38,2026/1/30 22:38,4,很满意,2026-01-26
O00000115,U000015,P001117,3,2026/2/27 22:38,已完成,微信支付,93.07,247.23,1.22,246.01,2026/3/4 22:38,2026/3/7 22:38,5,包装很好,2026-02-27
O00000116,U000129,P001912,4,2025/9/28 22:38,已取消,支付宝,7339.04,27843.11,4553.15,23289.96,,,,,2025-09-28
O00000117,U001693,P000122,1,2025/11/27 22:38,已发货,微信支付,323.22,295.01,49.34,245.67,2025/12/2 22:38,,,,2025-11-27
O00000118,U001118,P000989,4,2025/9/26 22:38,已完成,支付宝,604.34,2118.72,453.94,1664.78,2025/9/28 22:38,2025/10/1 22:38,4,好评！,2025-09-26
O00000119,U004852,P001830,2,2026/1/13 22:38,待付款,银行卡,6225.14,11394.33,2940.07,8454.26,,,,,2026-01-13
O00000120,U001403,P000050,4,2026/2/17 22:38,已付款,支付宝,245.17,910.81,76.48,834.33,,,,,2026-02-17
O00000121,U002886,P001175,2,2025/11/12 22:38,已收货,微信支付,970.57,1925.39,54.24,1871.15,2025/11/16 22:38,2025/11/18 22:38,,,2025-11-12
O00000122,U000687,P000565,4,2025/9/14 22:38,已完成,银行卡,307.28,1133.05,321.52,811.53,2025/9/15 22:38,2025/9/16 22:38,5,很满意,2025-09-14
O00000123,U000951,P001575,2,2025/10/15 22:38,已完成,微信支付,748.54,1383.35,219.77,1163.58,2025/10/20 22:38,2025/10/23 22:38,5,包装很好,2025-10-15
O00000124,U000530,P001431,4,2025/11/28 22:38,已收货,微信支付,1205.0,4487.71,775.04,3712.67,2025/12/1 22:38,2025/12/3 22:38,,,2025-11-28
O00000125,U003527,P000860,4,2025/12/31 22:38,已完成,花呗,681.33,2596.53,749.93,1846.6,2026/1/4 22:38,2026/1/6 22:38,,,2025-12-31
O00000126,U001116,P000624,4,2025/10/15 22:38,已完成,银行卡,706.32,2480.42,404.47,2075.95,2025/10/19 22:38,2025/10/20 22:38,4,物美价廉,2025-10-15
O00000127,U002491,P001635,2,2025/10/3 22:38,已完成,信用卡,4826.27,8914.59,2004.96,6909.63,2025/10/4 22:38,2025/10/7 22:38,5,好评！,2025-10-03
O00000128,U003362,P001730,2,2025/11/10 22:38,已完成,支付宝,1175.62,2309.45,295.58,2013.87,2025/11/14 22:38,2025/11/15 22:38,,,2025-11-10
O00000129,U002346,P000491,2,2026/2/9 22:38,已收货,银行卡,579.06,1141.33,167.85,973.48,2026/2/11 22:38,2026/2/12 22:38,,,2026-02-09
O00000130,U001627,P000156,1,2025/12/31 22:38,已付款,花呗,5353.99,5233.71,762.4,4471.31,,,,,2025-12-31
O00000131,U001475,P001852,4,2026/1/1 22:38,已发货,支付宝,6542.47,23070.98,4863.61,18207.37,2026/1/5 22:38,,,,2026-01-01
O00000132,U004487,P000472,2,2025/10/3 22:38,已付款,花呗,575.73,1067.75,234.39,833.36,,,,,2025-10-03
O00000133,U003047,P000451,3,2025/11/14 22:38,已完成,信用卡,248.32,737.35,151.86,585.49,2025/11/16 22:38,2025/11/19 22:38,4,好评！,2025-11-14
O00000134,U004917,P000394,3,2025/11/20 22:38,已付款,支付宝,270.35,690.2,191.59,498.61,,,,,2025-11-20
O00000135,U003073,P000510,1,2025/9/25 22:38,已收货,银行卡,325.5,320.67,60.41,260.26,2025/9/30 22:38,2025/10/3 22:38,,,2025-09-25
O00000136,U001422,P000802,4,2025/9/22 22:38,已完成,信用卡,412.71,1446.76,275.35,1171.41,2025/9/26 22:38,2025/9/28 22:38,,,2025-09-22
O00000137,U000755,P001747,4,2025/9/23 22:38,已完成,银行卡,907.6,3381.05,86.11,3294.94,2025/9/26 22:38,2025/9/27 22:38,4,好评！,2025-09-23
O00000138,U003177,P000513,5,2026/2/24 22:38,已完成,银行卡,1155.73,5088.52,1459.81,3628.71,2026/2/27 22:38,2026/3/1 22:38,,,2026-02-24
O00000139,U003290,P001254,3,2026/3/5 22:38,已完成,微信支付,729.27,2146.95,132.16,2014.79,2026/3/6 22:38,2026/3/9 22:38,5,下次还会购买,2026-03-05
O00000140,U000406,P000933,3,2025/10/9 22:38,已完成,支付宝,5212.22,15073.21,2393.99,12679.22,2025/10/10 22:38,2025/10/13 22:38,,,2025-10-09
O00000141,U003684,P000762,4,2025/10/25 22:38,已收货,信用卡,624.74,2277.63,669.57,1608.06,2025/10/27 22:38,2025/10/28 22:38,,,2025-10-25
O00000142,U002340,P001988,2,2025/11/26 22:38,已完成,银行卡,338.19,594.63,15.92,578.71,2025/11/27 22:38,2025/11/29 22:38,4,很满意,2025-11-26
O00000143,U003310,P000071,5,2025/11/10 22:38,已发货,信用卡,420.3,1927.11,569.59,1357.52,2025/11/14 22:38,,,,2025-11-10
O00000144,U002448,P000963,2,2025/10/19 22:38,已取消,支付宝,319.88,553.34,130.45,422.89,,,,,2025-10-19
O00000145,U001215,P000206,2,2026/3/5 22:38,已完成,银行卡,6605.2,12417.78,1975.01,10442.77,2026/3/6 22:38,2026/3/8 22:38,4,,2026-03-05
O00000146,U003334,P000058,4,2025/9/14 22:38,已发货,银行卡,838.71,3021.51,338.8,2682.71,2025/9/15 22:38,,,,2025-09-14
O00000147,U004944,P000528,1,2026/2/28 22:38,已完成,支付宝,829.34,707.07,153.25,553.82,2026/3/4 22:38,2026/3/7 22:38,4,好评！,2026-02-28
O00000148,U000680,P001116,4,2026/2/26 22:38,已收货,支付宝,6222.34,22726.9,5038.51,17688.39,2026/2/27 22:38,2026/3/1 22:38,,,2026-02-26
O00000149,U003572,P001600,2,2026/2/17 22:38,已付款,银行卡,80.42,153.8,26.54,127.26,,,,,2026-02-17
O00000150,U003381,P000412,4,2026/1/2 22:38,已付款,微信支付,486.42,1841.53,525.08,1316.45,,,,,2026-01-02
O00000151,U003818,P000070,4,2026/1/13 22:38,已完成,微信支付,703.41,2434.25,380.85,2053.4,2026/1/17 22:38,2026/1/18 22:38,,,2026-01-13
O00000152,U002395,P001308,1,2026/2/23 22:38,已完成,花呗,557.32,553.58,124.98,428.6,2026/2/26 22:38,2026/2/28 22:38,5,好评！,2026-02-23
O00000153,U004212,P001938,5,2026/1/16 22:38,已收货,微信支付,455.26,2166.45,635.84,1530.61,2026/1/19 22:38,2026/1/21 22:38,,,2026-01-16
O00000154,U002042,P000594,5,2025/12/21 22:38,已完成,微信支付,138.77,651.9,26.92,624.98,2025/12/26 22:38,2025/12/29 22:38,4,下次还会购买,2025-12-21
O00000155,U003899,P001195,2,2025/9/29 22:38,已发货,微信支付,713.83,1364.99,206.66,1158.33,2025/10/4 22:38,,,,2025-09-29
O00000156,U004034,P001231,5,2026/3/2 22:38,已收货,信用卡,349.7,1631.79,395.36,1236.43,2026/3/7 22:38,2026/3/9 22:38,,,2026-03-02
O00000157,U000872,P000910,2,2026/1/19 22:38,已发货,银行卡,667.57,1215.82,76.48,1139.34,2026/1/24 22:38,,,,2026-01-19
O00000158,U002008,P001302,3,2025/12/4 22:38,已完成,花呗,876.83,2427.89,66.47,2361.42,2025/12/7 22:38,2025/12/8 22:38,,,2025-12-04
O00000159,U003656,P000654,1,2025/11/2 22:38,已收货,支付宝,500.99,459.86,129.28,330.58,2025/11/3 22:38,2025/11/6 22:38,,,2025-11-02
O00000160,U003527,P001043,5,2025/12/9 22:38,已发货,花呗,1747.46,8359.77,490.2,7869.57,2025/12/13 22:38,,,,2025-12-09
O00000161,U004431,P000862,2,2026/2/11 22:38,已退款,银行卡,1515.64,2924.19,120.11,2804.08,,,,,2026-02-11
O00000162,U001979,P000275,1,2026/2/18 22:38,已完成,银行卡,5778.02,5182.04,1148.18,4033.86,2026/2/23 22:38,2026/2/26 22:38,5,下次还会购买,2026-02-18
O00000163,U002542,P000896,2,2025/10/13 22:38,已完成,信用卡,729.35,1411.67,308.52,1103.15,2025/10/16 22:38,2025/10/19 22:38,,,2025-10-13
O00000164,U001609,P001191,1,2025/9/21 22:38,已付款,信用卡,393.35,365.8,97.16,268.64,,,,,2025-09-21
O00000165,U001698,P000929,4,2026/2/13 22:38,已收货,支付宝,268.36,928.68,208.63,720.05,2026/2/15 22:38,2026/2/16 22:38,,,2026-02-13
O00000166,U004509,P000166,3,2025/10/7 22:38,已完成,花呗,5412.3,14932.81,1211.35,13721.46,2025/10/9 22:38,2025/10/11 22:38,5,下次还会购买,2025-10-07
O00000167,U002638,P000032,3,2025/9/19 22:38,已取消,花呗,668.88,1900.53,204.56,1695.97,,,,,2025-09-19
O00000168,U000378,P001038,5,2026/1/10 22:38,已收货,微信支付,709.34,3369.47,757.11,2612.36,2026/1/11 22:38,2026/1/14 22:38,,,2026-01-10
O00000169,U001503,P001890,1,2025/10/1 22:38,已完成,花呗,1922.59,1648.06,263.25,1384.81,2025/10/6 22:38,2025/10/8 22:38,5,很满意,2025-10-01
O00000170,U000701,P000663,1,2026/2/20 22:38,已完成,支付宝,804.29,727.25,7.32,719.93,2026/2/21 22:38,2026/2/23 22:38,,,2026-02-20
O00000171,U002299,P000098,2,2026/2/2 22:38,已完成,花呗,259.87,464.77,124.02,340.75,2026/2/4 22:38,2026/2/5 22:38,,,2026-02-02
O00000172,U004582,P001875,4,2025/9/15 22:38,已付款,支付宝,912.93,3361.62,961.3,2400.32,,,,,2025-09-15
O00000173,U000883,P000601,5,2025/12/7 22:38,已完成,微信支付,152.28,746.98,49.54,697.44,2025/12/10 22:38,2025/12/11 22:38,,,2025-12-07
O00000174,U004647,P001818,2,2025/12/17 22:38,已完成,银行卡,4437.92,8767.87,544.96,8222.91,2025/12/18 22:38,2025/12/20 22:38,,,2025-12-17
O00000175,U003693,P000982,2,2026/2/28 22:38,已付款,信用卡,80.02,154.96,25.0,129.96,,,,,2026-02-28
