user_id,age,gender,province,city,registration_date,member_level,account_balance,credit_score
U000039,21,男,广东,厦门,2021/11/2 22:38,金牌会员,3058.45,741
U000040,33,男,辽宁,福州,2021/7/29 22:38,普通会员,22002.81,758
U000041,37,女,江西,合肥,2025/3/14 22:38,银牌会员,4492.4,534
U000042,33,女,广东,成都,2022/3/7 22:38,银牌会员,875.07,707
U000043,31,女,重庆,上海,2023/9/22 22:38,银牌会员,1053.66,701
U000044,29,女,湖北,杭州,2024/3/9 22:38,铜牌会员,6295.86,616
U000045,20,女,云南,苏州,2024/7/14 22:38,钻石会员,258.56,745
U000046,26,女,江西,郑州,2025/3/22 22:38,普通会员,3272.92,683
U000047,28,男,山东,青岛,2024/11/20 22:38,普通会员,802.13,759
U000048,40,男,河南,福州,2021/10/24 22:38,铜牌会员,2838.91,548
U000049,34,女,河南,北京,2024/3/16 22:38,铜牌会员,6929.82,592
U000050,18,女,北京,北京,2025/7/9 22:38,金牌会员,3069.95,657
U000051,34,女,安徽,成都,2025/7/29 22:38,银牌会员,892.35,743
U000052,28,女,山西,郑州,2023/12/18 22:38,普通会员,1451.26,686
U000053,26,男,重庆,天津,2025/7/20 22:38,铜牌会员,2290.69,574
U000054,36,女,辽宁,天津,2024/1/30 22:38,铜牌会员,360.49,792
U000055,40,男,辽宁,广州,2021/5/5 22:38,钻石会员,4389.41,626
U000056,39,男,江苏,福州,2024/3/1 22:38,银牌会员,4676.52,576
U000057,25,女,安徽,深圳,2022/9/16 22:38,银牌会员,320.84,587
U000058,29,女,山西,郑州,2024/8/11 22:38,银牌会员,2573.43,543
U000059,34,女,云南,上海,2021/7/27 22:38,银牌会员,2672.18,470
U000060,39,男,安徽,济南,2025/11/7 22:38,银牌会员,2030.97,640
U000061,28,女,浙江,郑州,2022/1/1 22:38,普通会员,4079.28,525
U000062,30,男,浙江,合肥,2023/7/9 22:38,金牌会员,2122.91,675
U000063,23,男,重庆,上海,2023/2/1 22:38,银牌会员,2692.78,728
U000064,22,女,河南,上海,2025/5/24 22:38,银牌会员,7985.66,680
U000065,38,女,云南,深圳,2023/12/21 22:38,钻石会员,884.34,653
U000066,42,女,广西,合肥,2025/8/26 22:38,金牌会员,4826.28,526
U000067,31,男,广东,郑州,2022/12/31 22:38,金牌会员,3522.0,717
U000068,40,女,上海,青岛,2024/6/13 22:38,钻石会员,1819.73,800
U000069,34,男,上海,福州,2021/6/11 22:38,普通会员,6501.22,762
U000070,26,女,浙江,苏州,2022/7/27 22:38,铜牌会员,4005.76,543
U000071,34,男,广西,深圳,2022/8/17 22:38,银牌会员,3244.33,643
U000072,44,男,安徽,成都,2021/4/6 22:38,铜牌会员,5508.12,627
U000073,31,女,河南,杭州,2024/1/25 22:38,金牌会员,8104.78,618
U000074,44,女,河北,青岛,2022/11/9 22:38,银牌会员,17998.63,652
U000075,18,男,山西,西安,2025/1/6 22:38,银牌会员,4962.49,800
U000076,38,男,陕西,广州,2022/2/22 22:38,钻石会员,10374.86,658
U000077,32,女,江苏,福州,2025/9/14 22:38,铜牌会员,5.46,614
U000078,29,男,山西,上海,2025/11/2 22:38,银牌会员,3777.62,673
U000079,32,男,河北,南京,2022/5/21 22:38,银牌会员,1208.11,544
U000080,18,男,湖北,青岛,2024/10/25 22:38,铜牌会员,494.64,592
U000081,30,男,四川,天津,2021/10/4 22:38,普通会员,3796.13,728
U000082,34,女,湖北,武汉,2024/6/21 22:38,金牌会员,6868.4,665
U000083,43,女,云南,成都,2025/8/24 22:38,银牌会员,2657.46,800
U000084,27,女,福建,杭州,2021/4/19 22:38,金牌会员,5544.94,671
U000085,25,女,山东,重庆,2024/10/15 22:38,铜牌会员,3363.97,550
U000086,27,女,上海,成都,2021/3/27 22:38,普通会员,2873.14,523
U000087,39,男,陕西,厦门,2025/7/12 22:38,铜牌会员,1714.26,730
U000088,34,男,北京,福州,2023/12/18 22:38,铜牌会员,2411.14,566
U000089,27,男,北京,福州,2024/7/14 22:38,钻石会员,2152.34,559
U000090,36,男,四川,厦门,2023/7/21 22:38,普通会员,5194.94,608
U000091,32,女,福建,深圳,2022/7/13 22:38,钻石会员,616.6,729
U000092,39,女,四川,郑州,2021/6/1 22:38,钻石会员,486.06,620
U000093,26,男,福建,天津,2024/1/18 22:38,钻石会员,5394.24,582
U000094,29,女,山西,南京,2025/3/7 22:38,铜牌会员,3951.57,747
U000095,28,女,河南,重庆,2024/1/7 22:38,钻石会员,2812.35,733
U000096,20,女,上海,杭州,2024/2/7 22:38,铜牌会员,826.99,783
U000097,34,女,山东,苏州,2024/12/1 22:38,普通会员,2646.88,758
U000098,34,女,辽宁,苏州,2022/5/3 22:38,普通会员,7796.86,734
U000099,32,女,福建,长沙,2024/8/6 22:38,金牌会员,11019.19,589
U000100,30,女,广东,武汉,2022/2/27 22:38,普通会员,6062.99,702
U000101,20,女,重庆,深圳,2022/4/6 22:38,铜牌会员,308.91,747
U000102,28,男,河北,厦门,2022/6/17 22:38,普通会员,5549.53,798
U000103,29,男,四川,武汉,2025/9/10 22:38,铜牌会员,1378.67,663
U000104,25,女,福建,长沙,2022/9/5 22:38,普通会员,1893.52,610
U000105,30,男,湖南,上海,2022/7/14 22:38,金牌会员,1089.99,579
U000106,35,男,江苏,西安,2025/2/18 22:38,银牌会员,7475.1,728
U000107,47,女,安徽,合肥,2023/2/6 22:38,金牌会员,5229.18,596
U000108,33,男,江苏,成都,2022/1/2 22:38,银牌会员,4731.62,658
U000109,34,女,陕西,厦门,2024/9/20 22:38,钻石会员,5512.69,579
U000110,31,女,河南,南京,2025/3/6 22:38,铜牌会员,1350.99,637
U000111,18,女,广东,深圳,2023/7/3 22:38,银牌会员,2940.73,685
U000112,31,女,辽宁,西安,2023/12/19 22:38,银牌会员,5015.43,671
U000113,32,男,山西,成都,2024/7/31 22:38,铜牌会员,5061.17,709
U000114,51,女,山东,郑州,2022/7/4 22:38,金牌会员,7847.53,540
U000115,30,女,浙江,重庆,2022/3/27 22:38,银牌会员,1692.1,640
U000116,34,女,湖北,福州,2022/12/21 22:38,金牌会员,7355.69,612
U000117,31,男,广东,宁波,2024/11/11 22:38,银牌会员,2900.74,571
U000118,22,男,上海,济南,2022/4/3 22:38,普通会员,5545.93,590
U000119,41,女,上海,郑州,2024/4/10 22:38,银牌会员,3041.45,578
U000120,38,男,北京,武汉,2021/5/14 22:38,普通会员,14841.57,677
U000121,38,女,山西,济南,2021/10/14 22:38,银牌会员,988.0,682
U000122,24,男,福建,杭州,2021/9/28 22:38,银牌会员,5619.73,720
U000123,43,男,河北,杭州,2025/10/12 22:38,钻石会员,4296.42,676
U000124,20,男,云南,深圳,2024/10/22 22:38,普通会员,948.13,662
U000125,36,男,重庆,广州,2021/6/26 22:38,普通会员,341.43,656
U000126,49,女,广东,长沙,2025/11/30 22:38,普通会员,8025.84,704
U000127,24,女,陕西,青岛,2021/7/31 22:38,铜牌会员,856.62,481
U000128,27,男,浙江,郑州,2024/4/28 22:38,金牌会员,1032.09,645
U000129,32,女,江西,北京,2023/11/5 22:38,金牌会员,19183.24,675
U000130,27,男,山西,深圳,2024/8/4 22:38,银牌会员,6316.15,793
U000131,19,女,北京,北京,2025/9/21 22:38,金牌会员,1441.66,561
U000132,32,男,广西,福州,2024/11/28 22:38,铜牌会员,4469.58,558
U000133,23,女,北京,长沙,2022/11/30 22:38,普通会员,3819.05,468
U000134,35,女,浙江,上海,2021/3/7 22:38,普通会员,9304.69,538
U000135,24,女,四川,北京,2022/1/25 22:38,金牌会员,6534.1,637
U000136,44,女,江苏,北京,2024/4/30 22:38,银牌会员,8910.66,592
U000137,25,女,重庆,深圳,2024/11/25 22:38,银牌会员,1188.16,590
U000138,29,女,江苏,郑州,2022/6/2 22:38,铜牌会员,5111.3,651
U000139,38,女,河北,福州,2023/4/18 22:38,铜牌会员,205.36,696
U000140,22,女,四川,成都,2023/11/16 22:38,钻石会员,357.16,651
U000141,33,女,江苏,天津,2022/6/28 22:38,普通会员,6250.56,652
U000142,42,男,陕西,杭州,2023/7/10 22:38,银牌会员,123.62,682
U000143,19,女,云南,福州,2025/4/17 22:38,铜牌会员,4334.71,503
U000144,33,男,河南,苏州,2024/8/10 22:38,普通会员,9175.58,660
U000145,34,女,四川,上海,2025/4/24 22:38,银牌会员,2389.71,644
U000146,38,女,福建,郑州,2024/9/16 22:38,铜牌会员,229.38,649
U000147,22,女,北京,重庆,2021/12/1 22:38,银牌会员,6256.15,603
U000148,21,男,山西,厦门,2022/12/12 22:38,银牌会员,13273.95,633
U000149,36,男,湖北,重庆,2023/1/27 22:38,铜牌会员,6314.57,682
U000150,34,女,辽宁,上海,2024/8/14 22:38,银牌会员,4319.05,778
U000151,34,女,上海,天津,2021/11/27 22:38,银牌会员,1307.01,514
U000152,34,男,山西,西安,2022/10/25 22:38,铜牌会员,77.48,695
U000153,26,男,辽宁,重庆,2023/9/10 22:38,银牌会员,5931.85,747
U000154,33,女,安徽,济南,2022/10/27 22:38,银牌会员,1313.49,548
U000155,34,女,浙江,北京,2023/11/9 22:38,普通会员,9765.37,635
U000156,26,男,河北,宁波,2024/1/24 22:38,金牌会员,3140.21,672
U000157,46,男,广东,合肥,2024/11/11 22:38,铜牌会员,3781.88,800
U000158,35,男,山西,广州,2025/4/26 22:38,金牌会员,7010.83,800
U000159,22,女,四川,合肥,2023/3/28 22:38,金牌会员,7557.71,548
U000160,37,男,福建,合肥,2023/4/30 22:38,铜牌会员,5145.21,625
U000161,24,男,重庆,苏州,2025/8/1 22:38,铜牌会员,13938.05,665
U000162,38,男,河北,苏州,2021/11/9 22:38,铜牌会员,20170.51,694
U000163,41,男,河南,重庆,2025/10/30 22:38,铜牌会员,14676.52,666
U000164,25,女,江西,厦门,2021/4/7 22:38,金牌会员,8691.45,574
U000165,39,男,山东,青岛,2025/6/24 22:38,银牌会员,6114.51,570
U000166,35,男,江西,西安,2025/3/27 22:38,普通会员,5443.2,526
U000167,38,女,湖南,西安,2022/7/29 22:38,银牌会员,547.68,488
U000168,47,男,山西,杭州,2025/3/13 22:38,钻石会员,1583.73,524
U000169,30,男,江苏,上海,2021/8/26 22:38,银牌会员,28.52,742
U000170,25,女,福建,济南,2022/4/12 22:38,银牌会员,739.08,706
U000171,24,女,陕西,武汉,2023/9/23 22:38,银牌会员,2892.22,694
U000172,25,女,河北,武汉,2022/10/1 22:38,铜牌会员,792.26,632
U000173,31,女,河南,成都,2025/9/26 22:38,铜牌会员,11596.8,646
U000174,34,女,山西,西安,2023/12/8 22:38,银牌会员,8191.74,628
U000175,34,男,河北,厦门,2023/12/15 22:38,铜牌会员,371.53,523
U000176,38,女,重庆,厦门,2022/10/2 22:38,银牌会员,1431.17,701
U000177,32,女,四川,天津,2023/6/21 22:38,银牌会员,8548.28,718
U000178,43,女,山东,厦门,2023/2/16 22:38,银牌会员,8123.93,557
U000179,29,女,河北,青岛,2024/9/7 22:38,铜牌会员,14543.24,557
U000180,53,男,重庆,宁波,2022/12/28 22:38,普通会员,30053.77,678
U000181,37,女,陕西,青岛,2021/4/8 22:38,铜牌会员,18705.09,677
U000182,25,女,上海,青岛,2026/1/11 22:38,铜牌会员,2639.33,708
U000183,23,女,陕西,青岛,2022/4/12 22:38,铜牌会员,1440.6,763
U000184,35,男,辽宁,合肥,2022/1/19 22:38,银牌会员,7102.57,565
U000185,30,男,湖南,上海,2025/6/14 22:38,普通会员,1778.18,643
U000186,37,男,上海,宁波,2022/4/9 22:38,铜牌会员,8209.81,569
U000187,35,女,江苏,济南,2023/1/31 22:38,铜牌会员,3817.36,575
U000188,31,男,浙江,厦门,2021/11/19 22:38,铜牌会员,7897.63,615
U000189,25,男,山西,武汉,2024/8/6 22:38,铜牌会员,1613.99,765
U000190,19,女,河南,广州,2021/10/13 22:38,铜牌会员,3546.66,738
U000191,28,男,河北,杭州,2022/7/2 22:38,金牌会员,4150.84,644
U000192,38,女,山西,郑州,2024/3/9 22:38,普通会员,14333.01,477
U000193,33,男,云南,宁波,2025/6/20 22:38,银牌会员,1550.3,681
U000194,22,女,江西,广州,2024/6/12 22:38,金牌会员,13798.42,679
U000195,33,女,湖南,郑州,2023/8/28 22:38,铜牌会员,8170.16,575
U000196,35,女,河南,成都,2025/3/17 22:38,金牌会员,6563.25,716
U000197,24,女,福建,西安,2023/7/20 22:38,普通会员,7729.27,573
U000198,33,男,安徽,深圳,2026/1/28 22:38,铜牌会员,4649.73,716
U000199,32,男,广西,上海,2022/1/17 22:38,铜牌会员,1399.1,669
U000200,22,男,广东,北京,2021/3/8 22:38,普通会员,1050.49,533
U000201,34,女,云南,福州,2022/1/22 22:38,铜牌会员,10062.33,621
U000202,36,女,辽宁,重庆,2024/8/13 22:38,铜牌会员,6457.46,661
U000203,40,女,广东,武汉,2023/4/15 22:38,银牌会员,1198.93,674
U000204,40,女,重庆,成都,2021/10/27 22:38,金牌会员,4773.77,732
U000205,20,男,湖南,郑州,2025/2/3 22:38,普通会员,2966.93,742
U000206,24,女,山西,苏州,2023/4/1 22:38,铜牌会员,863.77,630
U000207,36,女,陕西,宁波,2025/7/1 22:38,铜牌会员,3794.91,694
U000208,36,男,上海,成都,2021/3/19 22:38,铜牌会员,1653.08,778
U000209,36,女,陕西,深圳,2022/8/3 22:38,银牌会员,505.98,568
U000210,62,男,辽宁,成都,2024/6/2 22:38,铜牌会员,3145.78,601
U000211,36,女,广东,合肥,2021/5/17 22:38,普通会员,4459.31,517
U000212,41,女,福建,福州,2022/7/6 22:38,银牌会员,240.21,599
U000213,39,男,四川,济南,2023/4/1 22:38,金牌会员,2571.6,666
U000214,37,男,湖南,厦门,2022/9/5 22:38,铜牌会员,1489.75,480
U000215,29,男,浙江,重庆,2024/12/23 22:38,银牌会员,155.65,684
U000216,38,女,浙江,深圳,2025/3/27 22:38,普通会员,671.44,612
U000217,25,女,山东,西安,2023/12/31 22:38,普通会员,748.5,644
U000218,30,男,广西,厦门,2021/10/26 22:38,普通会员,1009.81,556
U000219,28,女,山西,南京,2025/3/10 22:38,铜牌会员,8132.35,641
U000220,32,女,辽宁,宁波,2023/1/26 22:38,金牌会员,2894.56,784
U000221,50,男,江苏,郑州,2021/9/23 22:38,铜牌会员,795.48,618
U000222,18,男,四川,上海,2023/2/13 22:38,普通会员,528.45,472
U000223,37,女,四川,合肥,2026/2/2 22:38,铜牌会员,1768.69,747
U000224,19,女,上海,郑州,2022/9/26 22:38,铜牌会员,7997.82,693
U000225,28,男,北京,西安,2024/4/11 22:38,银牌会员,2266.4,657
U000226,40,男,重庆,广州,2023/5/10 22:38,铜牌会员,871.16,695
U000227,32,男,上海,天津,2025/12/26 22:38,铜牌会员,2588.55,656
U000228,23,女,河北,宁波,2025/6/19 22:38,银牌会员,4051.91,781
U000229,26,男,江西,上海,2024/1/22 22:38,普通会员,150.15,710
U000230,37,男,江西,济南,2021/6/6 22:38,普通会员,4939.49,613
U000231,26,女,浙江,武汉,2021/7/27 22:38,普通会员,2513.47,769
U000232,33,女,云南,合肥,2024/5/15 22:38,铜牌会员,48.87,795
U000233,32,男,广东,重庆,2024/10/1 22:38,普通会员,5602.59,722
U000234,26,男,云南,成都,2025/10/8 22:38,铜牌会员,6230.71,682
U000235,49,女,湖北,重庆,2024/9/28 22:38,银牌会员,4955.61,581
U000236,37,男,湖南,广州,2022/11/30 22:38,银牌会员,2092.22,704
U000237,18,男,陕西,成都,2025/8/26 22:38,银牌会员,3770.91,681
U000238,33,女,江西,郑州,2025/8/12 22:38,金牌会员,2448.24,647
U000239,26,男,重庆,武汉,2021/12/28 22:38,铜牌会员,6030.24,705
U000240,38,女,重庆,重庆,2023/5/15 22:38,金牌会员,4380.31,656
U000241,25,女,安徽,成都,2021/7/8 22:38,铜牌会员,426.7,693
U000242,31,男,河南,天津,2025/9/15 22:38,铜牌会员,5151.41,732
U000243,36,男,山西,杭州,2021/10/30 22:38,铜牌会员,5811.57,543
U000244,38,女,山东,武汉,2023/2/9 22:38,普通会员,2315.75,568
U000245,22,女,湖北,济南,2021/10/19 22:38,钻石会员,10428.74,577
U000246,29,女,河北,武汉,2025/5/22 22:38,普通会员,9258.0,800
U000247,28,女,浙江,宁波,2025/5/17 22:38,铜牌会员,962.87,700
U000248,26,男,广西,合肥,2022/5/24 22:38,铜牌会员,11730.92,708
U000249,46,女,河南,济南,2023/6/6 22:38,普通会员,2906.89,740
U000250,35,男,上海,成都,2023/1/5 22:38,普通会员,6432.24,566
U000251,21,女,安徽,福州,2025/3/2 22:38,普通会员,8412.65,486
U000252,39,男,云南,济南,2024/8/10 22:38,铜牌会员,3517.12,644
U000253,48,男,四川,济南,2023/2/19 22:38,金牌会员,2546.65,721
U000254,40,女,山西,西安,2021/3/15 22:38,铜牌会员,12352.14,634
U000255,19,女,上海,福州,2022/9/10 22:38,普通会员,1312.37,540
U000256,28,男,四川,天津,2023/9/21 22:38,银牌会员,1485.09,577
U000257,42,男,河南,杭州,2024/11/27 22:38,钻石会员,2244.11,555
U000258,26,女,陕西,青岛,2023/1/26 22:38,普通会员,9811.52,601
U000259,35,女,安徽,郑州,2021/11/10 22:38,铜牌会员,13967.08,557
U000260,38,男,广东,西安,2022/1/1 22:38,钻石会员,1242.74,661
U000261,24,男,山西,成都,2022/3/24 22:38,普通会员,9970.73,606
U000262,31,男,云南,重庆,2024/12/19 22:38,铜牌会员,1493.4,700
U000263,18,女,江西,合肥,2022/2/4 22:38,普通会员,17640.82,571
U000264,23,女,北京,西安,2024/5/6 22:38,金牌会员,4549.16,670
U000265,29,女,广西,长沙,2023/11/9 22:38,钻石会员,35.56,646
U000266,22,女,上海,武汉,2022/4/30 22:38,金牌会员,173.63,681
U000267,45,男,山东,福州,2022/6/14 22:38,铜牌会员,797.82,692
U000268,20,女,重庆,武汉,2024/1/1 22:38,铜牌会员,1038.65,701
U000269,28,女,四川,合肥,2023/8/21 22:38,普通会员,7296.89,716
U000270,33,男,四川,长沙,2023/3/12 22:38,金牌会员,1260.07,693
U000271,43,男,福建,西安,2023/7/25 22:38,金牌会员,17391.73,673
U000272,20,女,河北,上海,2025/6/1 22:38,铜牌会员,5054.55,596
U000273,41,女,山西,成都,2024/9/14 22:38,银牌会员,5896.69,718
U000274,32,男,辽宁,郑州,2024/10/31 22:38,普通会员,1228.33,594
U000275,24,女,江西,福州,2025/9/25 22:38,铜牌会员,11160.93,626
U000276,35,女,福建,苏州,2024/3/13 22:38,银牌会员,5510.31,581
U000277,33,男,陕西,重庆,2025/12/22 22:38,铜牌会员,9990.44,579
U000278,27,男,北京,长沙,2022/10/18 22:38,铜牌会员,15672.8,624
U000279,32,男,云南,武汉,2022/12/27 22:38,普通会员,671.32,631
U000280,28,女,山西,武汉,2024/10/20 22:38,金牌会员,507.88,584
U000281,32,男,湖北,成都,2022/10/17 22:38,金牌会员,8133.12,651
U000282,37,男,陕西,杭州,2024/11/9 22:38,钻石会员,10054.28,662
U000283,44,女,福建,重庆,2026/1/20 22:38,银牌会员,4382.48,606
U000284,22,女,广西,青岛,2025/9/11 22:38,铜牌会员,2278.54,800
U000285,49,男,山东,杭州,2022/2/15 22:38,铜牌会员,5286.82,676
U000286,18,男,上海,西安,2022/7/22 22:38,钻石会员,1824.0,659
U000287,30,女,湖南,苏州,2025/10/6 22:38,银牌会员,1361.58,595
U000288,36,女,河南,重庆,2024/10/23 22:38,银牌会员,3348.57,661
U000289,34,女,江苏,福州,2025/9/18 22:38,银牌会员,1217.71,669
U000290,27,男,广东,天津,2025/12/1 22:38,金牌会员,3305.37,649
U000291,30,女,安徽,上海,2021/4/10 22:38,普通会员,15687.23,763
U000292,28,女,陕西,福州,2024/3/29 22:38,普通会员,9156.16,513
U000293,27,女,陕西,北京,2025/9/11 22:38,银牌会员,14204.84,619
U000294,38,女,辽宁,合肥,2023/3/19 22:38,金牌会员,8207.97,707
U000295,34,男,四川,厦门,2024/10/4 22:38,银牌会员,2190.59,578
U000296,26,男,重庆,武汉,2024/7/13 22:38,铜牌会员,8357.77,526
U000297,39,女,广西,宁波,2022/5/5 22:38,铜牌会员,12814.28,608
U000298,34,女,四川,南京,2023/5/16 22:38,银牌会员,14690.69,733
U000299,38,女,江苏,长沙,2024/11/22 22:38,银牌会员,5747.39,580
U000300,37,男,江苏,广州,2023/1/26 22:38,银牌会员,1187.27,621
U000301,25,女,云南,厦门,2025/5/9 22:38,铜牌会员,202.7,683
U000302,27,女,山西,苏州,2022/1/14 22:38,金牌会员,796.15,603
U000303,37,男,辽宁,南京,2022/11/22 22:38,银牌会员,16840.78,614
U000304,36,男,江苏,北京,2022/11/11 22:38,银牌会员,3100.38,597
U000305,31,女,四川,上海,2023/6/11 22:38,普通会员,9654.63,604
U000306,32,女,四川,郑州,2024/9/24 22:38,铜牌会员,3127.86,556
U000307,42,女,北京,青岛,2021/9/11 22:38,金牌会员,5406.09,629
U000308,27,女,江苏,成都,2023/6/11 22:38,普通会员,122.18,735
U000309,36,男,云南,青岛,2021/7/26 22:38,铜牌会员,1437.51,776
U000310,30,男,陕西,青岛,2023/10/24 22:38,铜牌会员,2865.89,749
U000311,30,女,山西,宁波,2025/1/10 22:38,银牌会员,4979.8,661
U000312,40,女,辽宁,杭州,2025/7/25 22:38,铜牌会员,940.82,782
U000313,38,女,上海,深圳,2025/7/20 22:38,普通会员,7231.31,800
U000314,38,女,湖北,武汉,2022/5/26 22:38,金牌会员,2265.97,664
U000315,42,男,河北,武汉,2023/9/5 22:38,银牌会员,8503.25,570
U000316,32,女,湖北,广州,2024/2/9 22:38,普通会员,515.53,754
U000317,37,男,陕西,厦门,2023/9/20 22:38,普通会员,5693.37,553
U000318,29,男,重庆,成都,2023/10/16 22:38,钻石会员,1735.95,579
U000319,34,男,北京,上海,2023/6/23 22:38,普通会员,7933.08,483
U000320,30,男,山西,济南,2021/4/1 22:38,银牌会员,2572.25,708
U000321,32,男,上海,深圳,2022/1/2 22:38,铜牌会员,5473.34,464
U000322,36,男,湖南,天津,2025/10/16 22:38,金牌会员,13613.68,729
U000323,25,男,云南,福州,2022/4/26 22:38,银牌会员,104.21,794
U000324,48,男,河南,深圳,2022/6/6 22:38,银牌会员,55.9,788
U000325,23,女,重庆,郑州,2022/6/21 22:38,普通会员,7354.45,548
U000326,22,男,陕西,深圳,2025/7/17 22:38,金牌会员,5197.85,500
U000327,41,男,山东,合肥,2025/10/2 22:38,铜牌会员,1733.48,598
U000328,38,女,江西,长沙,2023/11/2 22:38,金牌会员,3410.01,720
U000329,36,女,陕西,西安,2022/1/4 22:38,铜牌会员,214.2,746
U000330,37,女,湖北,苏州,2024/3/11 22:38,银牌会员,1068.72,703
U000331,31,男,福建,北京,2021/8/9 22:38,普通会员,2762.55,692
U000332,24,女,湖南,合肥,2021/4/6 22:38,银牌会员,8980.18,800
U000333,32,男,浙江,济南,2025/6/25 22:38,铜牌会员,3266.43,611
U000334,26,男,河北,南京,2024/9/12 22:38,铜牌会员,4413.83,587
U000335,39,男,上海,上海,2025/1/7 22:38,普通会员,10347.61,554
U000336,30,女,福建,广州,2025/1/10 22:38,普通会员,1846.77,684
U000337,25,男,北京,北京,2023/2/1 22:38,普通会员,6031.53,635
U000338,29,男,广西,青岛,2023/7/31 22:38,铜牌会员,9890.47,715
U000339,35,男,江苏,青岛,2025/4/22 22:38,金牌会员,1132.09,613
U000340,27,女,江苏,郑州,2023/9/23 22:38,铜牌会员,2204.0,700
U000341,25,女,山东,苏州,2025/1/24 22:38,银牌会员,19512.88,619
U000342,33,男,河南,杭州,2024/7/13 22:38,普通会员,20437.41,636
U000343,33,女,北京,青岛,2023/7/2 22:38,银牌会员,1263.05,644
U000344,27,女,江苏,上海,2024/9/10 22:38,铜牌会员,343.78,513
U000345,28,女,四川,福州,2021/3/11 22:38,钻石会员,1579.87,638
U000346,33,男,云南,成都,2025/9/2 22:38,金牌会员,2535.26,694
U000347,20,女,湖北,南京,2023/8/11 22:38,铜牌会员,2908.08,570
U000348,20,男,广东,杭州,2021/7/25 22:38,银牌会员,4822.24,800
U000349,26,女,上海,杭州,2021/4/6 22:38,普通会员,11488.13,650
U000350,30,男,四川,济南,2021/4/17 22:38,银牌会员,2004.99,599
U000351,34,男,辽宁,广州,2023/1/3 22:38,普通会员,9485.08,597
U000352,43,男,河北,深圳,2025/7/18 22:38,铜牌会员,490.7,759
U000353,38,女,河南,合肥,2025/10/23 22:38,普通会员,213.88,584
U000354,30,男,云南,成都,2022/6/9 22:38,银牌会员,3506.35,673
U000355,31,女,广东,天津,2023/1/23 22:38,铜牌会员,307.58,720
U000356,23,男,上海,武汉,2021/5/28 22:38,银牌会员,2491.93,694
U000357,31,女,江西,青岛,2026/1/4 22:38,铜牌会员,11354.37,604
U000358,29,女,江西,重庆,2025/7/27 22:38,普通会员,1381.95,717
