user_id,total_spent,order_count,completed_orders,avg_order_amount,browse_count,click_count,favorite_count,cart_count,days_since_last_order,order_frequency,repurchase_indicator,purchase_intent,consumption_level,member_level_score
U000023,792.75,1.0,0.0,792.75,7.0,3.0,0.0,0.0,999,0.0,0,0.1492,低,3
U000024,5794.95,2.0,1.0,2897.475,3.0,2.0,2.0,1.0,999,1.0,0,0.1085,中,4
U000025,4318.9400000000005,5.0,2.0,863.7880000000001,2.0,2.0,1.0,0.0,999,2.0,1,0.128,中,2
U000026,23084.45,4.0,2.0,6881.53,1.0,3.0,0.0,1.0,999,2.0,1,0.3117,高,2
U000027,6554.9400000000005,5.0,2.0,1398.7125,3.0,2.0,1.0,0.0,999,2.0,1,0.2917,中,2
U000028,9786.61,3.0,1.0,3262.2033333333334,5.0,2.0,1.0,1.0,999,1.0,0,0.2747,中,1
U000029,20499.95,4.0,1.0,2477.5766666666664,0.0,2.0,0.0,3.0,999,1.0,0,0.1945,高,2
U000030,1651.98,2.0,0.0,787.92,4.0,2.0,1.0,0.0,999,0.0,0,0.1623,低,4
U000031,26876.56,6.0,4.0,4479.426666666667,1.0,1.0,1.0,0.0,999,4.0,1,0.195,高,1
U000032,2464.14,2.0,1.0,1232.07,4.0,0.0,2.0,0.0,999,1.0,0,0.2698,低,1
U000033,8113.74,3.0,0.0,3711.415,1.0,2.0,2.0,0.0,999,0.0,0,0.1768,中,1
U000034,5392.52,1.0,0.0,0.0,1.0,1.0,1.0,0.0,999,0.0,0,0.3974,中,2
U000035,18341.97,5.0,5.0,3668.3940000000002,5.0,1.0,2.0,2.0,999,5.0,1,0.1284,高,5
U000036,2118.33,1.0,0.0,2118.33,5.0,1.0,1.0,0.0,999,0.0,0,0.3551,低,1
U000037,1098.83,2.0,2.0,549.415,3.0,1.0,0.0,0.0,999,2.0,1,0.1304,低,1
U000038,18778.53,5.0,0.0,1982.1000000000001,2.0,1.0,2.0,2.0,999,0.0,0,0.3166,高,4
U000039,3995.73,3.0,1.0,1331.91,1.0,2.0,0.0,0.0,999,1.0,0,0.1007,中,4
U000040,28892.82,8.0,3.0,3846.5616666666665,0.0,3.0,1.0,0.0,999,3.0,1,0.2671,高,1
U000041,4893.99,4.0,2.0,1223.4975,2.0,2.0,1.0,1.0,999,2.0,1,0.2816,中,3
U000042,5900.39,5.0,1.0,1205.0900000000001,2.0,2.0,0.0,1.0,999,1.0,0,0.1523,中,3
U000043,21563.76,1.0,0.0,21563.76,1.0,1.0,1.0,0.0,999,0.0,0,0.3685,高,3
U000044,5096.57,3.0,0.0,1332.165,2.0,0.0,0.0,1.0,999,0.0,0,0.3383,中,2
U000045,35678.04,4.0,2.0,2732.33,3.0,0.0,1.0,0.0,999,2.0,1,0.1146,高,5
U000046,1929.4,3.0,2.0,643.1333333333333,3.0,1.0,2.0,2.0,999,2.0,1,0.239,低,1
U000047,18010.33,2.0,2.0,9005.165,6.0,5.0,2.0,0.0,999,2.0,1,0.3494,高,1
U000048,557.6700000000001,2.0,0.0,278.83500000000004,6.0,0.0,2.0,2.0,999,0.0,0,0.318,低,2
U000049,4604.75,5.0,4.0,705.7525,3.0,0.0,0.0,0.0,999,4.0,1,0.3028,中,2
U000050,22054.510000000002,2.0,2.0,11027.255000000001,2.0,1.0,1.0,0.0,999,2.0,1,0.3855,高,4
U000051,37147.88,4.0,2.0,9170.056666666667,4.0,0.0,1.0,1.0,999,2.0,1,0.2053,高,3
U000052,2145.11,2.0,1.0,1072.555,3.0,1.0,1.0,1.0,999,1.0,0,0.2117,低,1
U000053,39966.51,7.0,2.0,7085.505999999999,5.0,4.0,0.0,1.0,999,2.0,1,0.3779,高,2
U000054,5371.98,1.0,1.0,5371.98,4.0,3.0,1.0,0.0,999,1.0,0,0.2295,中,2
U000055,2354.64,2.0,1.0,1177.32,6.0,0.0,1.0,0.0,999,1.0,0,0.1094,低,5
U000056,827.55,2.0,1.0,150.81,4.0,0.0,1.0,0.0,999,1.0,0,0.3356,低,3
U000057,689.23,1.0,0.0,689.23,2.0,1.0,0.0,1.0,999,0.0,0,0.1918,低,3
U000058,4971.6900000000005,2.0,1.0,2485.8450000000003,2.0,1.0,2.0,0.0,999,1.0,0,0.173,中,3
U000059,1260.35,3.0,1.0,420.1166666666666,2.0,0.0,1.0,1.0,999,1.0,0,0.3373,低,3
U000060,21613.69,1.0,1.0,21613.69,3.0,1.0,1.0,1.0,999,1.0,0,0.3357,高,3
U000061,5025.23,3.0,2.0,1675.0766666666666,4.0,5.0,0.0,0.0,999,2.0,1,0.3374,中,1
U000062,8324.01,4.0,1.0,2081.0025,2.0,3.0,1.0,1.0,999,1.0,0,0.1429,中,4
U000063,895.41,1.0,1.0,895.41,3.0,0.0,2.0,1.0,999,1.0,0,0.3692,低,3
U000064,3219.34,2.0,1.0,2045.78,1.0,1.0,1.0,0.0,999,1.0,0,0.2389,中,3
U000065,9329.43,2.0,1.0,4664.715,0.0,1.0,2.0,0.0,999,1.0,0,0.1053,中,5
U000066,618.05,2.0,2.0,309.025,1.0,2.0,1.0,0.0,999,2.0,1,0.3058,低,4
U000067,7458.88,4.0,1.0,2318.7933333333335,2.0,2.0,0.0,1.0,999,1.0,0,0.1897,中,4
U000068,1330.44,3.0,1.0,443.48,0.0,2.0,1.0,0.0,999,1.0,0,0.1485,低,5
U000069,28218.63,3.0,1.0,9406.210000000001,2.0,2.0,0.0,0.0,999,1.0,0,0.3749,高,1
U000070,7947.13,6.0,2.0,1324.5216666666668,5.0,2.0,0.0,0.0,999,2.0,1,0.157,中,2
U000071,5489.2699999999995,4.0,1.0,1372.3174999999999,4.0,2.0,0.0,0.0,999,1.0,0,0.1522,中,3
U000072,2970.9700000000003,2.0,1.0,1485.4850000000001,3.0,1.0,0.0,1.0,999,1.0,0,0.3583,低,2
U000073,2577.42,2.0,0.0,1475.03,5.0,1.0,1.0,0.0,999,0.0,0,0.3251,低,4
U000074,17691.08,7.0,4.0,2527.297142857143,5.0,0.0,1.0,0.0,999,4.0,1,0.1176,高,3
U000075,5900.32,2.0,2.0,2950.16,1.0,1.0,0.0,1.0,999,2.0,1,0.3381,中,3
U000076,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,999,0.0,0,0.2098,低,5
U000077,15341.41,8.0,3.0,1917.67625,1.0,2.0,0.0,0.0,999,3.0,1,0.2761,高,2
U000078,8292.19,4.0,1.0,2073.0475,2.0,0.0,1.0,0.0,999,1.0,0,0.3495,中,3
U000079,3948.2,3.0,2.0,1316.0666666666666,1.0,2.0,1.0,0.0,999,2.0,1,0.1309,中,3
U000080,37504.96,8.0,5.0,4688.12,6.0,1.0,0.0,1.0,999,5.0,1,0.291,高,2
U000081,3303.24,4.0,1.0,645.5933333333334,3.0,2.0,1.0,1.0,999,1.0,0,0.1596,中,1
U000082,2187.81,2.0,1.0,1093.905,3.0,0.0,2.0,1.0,999,1.0,0,0.3289,低,4
U000083,4007.08,2.0,1.0,2003.54,7.0,2.0,2.0,0.0,999,1.0,0,0.3827,中,3
U000084,14788.13,1.0,0.0,14788.13,7.0,0.0,1.0,1.0,999,0.0,0,0.2289,高,4
U000085,5819.9800000000005,3.0,2.0,1939.9933333333336,1.0,2.0,2.0,0.0,999,2.0,1,0.1543,中,2
U000086,2971.58,3.0,0.0,990.5266666666666,7.0,2.0,0.0,0.0,999,0.0,0,0.276,低,1
U000087,1210.14,3.0,2.0,403.38000000000005,5.0,2.0,1.0,0.0,999,2.0,1,0.3471,低,2
U000088,20459.54,4.0,2.0,3609.2100000000005,4.0,1.0,3.0,1.0,999,2.0,1,0.1339,高,2
U000089,21630.540000000005,3.0,0.0,1773.98,3.0,0.0,0.0,1.0,999,0.0,0,0.1305,高,5
U000090,3446.56,1.0,1.0,3446.56,2.0,4.0,0.0,0.0,999,1.0,0,0.3463,中,1
U000091,19040.7,4.0,3.0,4760.175,2.0,3.0,0.0,0.0,999,3.0,1,0.1934,高,5
U000092,25291.65,5.0,3.0,5058.33,2.0,6.0,1.0,0.0,999,3.0,1,0.1976,高,5
U000093,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,999,0.0,0,0.1692,低,5
U000094,3495.32,1.0,0.0,3495.32,5.0,1.0,0.0,0.0,999,0.0,0,0.14,中,2
U000095,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,999,0.0,0,0.2683,低,5
U000096,1352.1599999999999,2.0,1.0,676.0799999999999,2.0,2.0,1.0,2.0,999,1.0,0,0.3692,低,2
U000097,14264.0,4.0,0.0,3066.205,2.0,1.0,0.0,0.0,999,0.0,0,0.3755,高,1
U000098,24167.66,5.0,3.0,6446.419999999999,2.0,2.0,0.0,0.0,999,3.0,1,0.3579,高,1
U000099,11814.869999999999,6.0,3.0,1523.656,5.0,4.0,1.0,0.0,999,3.0,1,0.3322,高,4
U000100,7663.9400000000005,4.0,2.0,1498.4233333333334,4.0,3.0,2.0,0.0,999,2.0,1,0.3576,中,1
U000101,19710.55,5.0,5.0,3942.1099999999997,3.0,3.0,1.0,1.0,999,5.0,1,0.1563,高,2
U000102,30611.91,4.0,1.0,10050.533333333333,5.0,1.0,1.0,1.0,999,1.0,0,0.1818,高,1
U000103,20535.62,2.0,1.0,10267.81,1.0,0.0,1.0,0.0,999,1.0,0,0.1059,高,2
U000104,625.95,1.0,1.0,625.95,4.0,2.0,1.0,0.0,999,1.0,0,0.367,低,1
U000105,30976.05,4.0,2.0,7744.0125,2.0,3.0,0.0,0.0,999,2.0,1,0.2797,高,4
U000106,10729.74,4.0,1.0,2286.74,2.0,2.0,0.0,1.0,999,1.0,0,0.2299,高,3
U000107,6991.280000000001,4.0,1.0,2315.8333333333335,3.0,3.0,0.0,0.0,999,1.0,0,0.1078,中,4
U000108,446.1,1.0,0.0,446.1,1.0,1.0,1.0,1.0,999,0.0,0,0.3735,低,3
U000109,7021.42,3.0,1.0,2340.4733333333334,6.0,0.0,1.0,0.0,999,1.0,0,0.1193,中,5
U000110,8236.119999999999,3.0,2.0,2745.373333333333,2.0,3.0,1.0,1.0,999,2.0,1,0.2519,中,2
U000111,25677.7,6.0,2.0,4245.9220000000005,4.0,1.0,0.0,1.0,999,2.0,1,0.1855,高,3
U000112,10339.05,6.0,3.0,1723.175,5.0,3.0,0.0,3.0,999,3.0,1,0.2081,高,3
U000113,7014.96,5.0,3.0,1680.3825,3.0,2.0,2.0,1.0,999,3.0,1,0.2564,中,2
U000114,9862.119999999999,4.0,2.0,2465.5299999999997,4.0,1.0,2.0,0.0,999,2.0,1,0.1175,中,4
U000115,6457.22,4.0,2.0,1614.305,1.0,1.0,0.0,0.0,999,2.0,1,0.3654,中,3
U000116,727.96,1.0,0.0,727.96,2.0,1.0,1.0,0.0,999,0.0,0,0.3057,低,4
U000117,7242.52,3.0,0.0,0.0,0.0,3.0,0.0,1.0,999,0.0,0,0.1654,中,3
U000118,26885.81,6.0,3.0,8097.04,5.0,1.0,2.0,0.0,999,3.0,1,0.3039,高,1
U000119,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,999,0.0,0,0.1834,低,3
U000120,5577.599999999999,2.0,2.0,2788.7999999999997,1.0,2.0,1.0,0.0,999,2.0,1,0.1445,中,1
U000121,13213.23,4.0,1.0,4009.9,1.0,1.0,3.0,1.0,999,1.0,0,0.3858,高,3
U000122,26428.51,3.0,2.0,8809.503333333332,4.0,2.0,1.0,0.0,999,2.0,1,0.1131,高,3
U000123,8282.92,2.0,0.0,4141.46,3.0,2.0,0.0,2.0,999,0.0,0,0.3836,中,5
U000124,8277.55,3.0,1.0,3373.75,4.0,0.0,3.0,1.0,999,1.0,0,0.1153,中,1
U000125,1856.81,3.0,2.0,618.9366666666666,0.0,0.0,3.0,0.0,999,2.0,1,0.2108,低,1
U000126,29514.84,6.0,3.0,5886.214,4.0,0.0,1.0,1.0,999,3.0,1,0.271,高,1
U000127,475.64,1.0,0.0,475.64,1.0,0.0,2.0,3.0,999,0.0,0,0.1797,低,2
U000128,11753.64,5.0,3.0,2751.1475,1.0,2.0,0.0,0.0,999,3.0,1,0.2454,高,4
U000129,45768.409999999996,13.0,6.0,1975.4445454545455,1.0,2.0,1.0,0.0,999,6.0,1,0.1833,高,4
U000130,3488.46,2.0,0.0,809.09,3.0,0.0,0.0,0.0,999,0.0,0,0.1257,中,3
U000131,20202.63,4.0,2.0,5050.6575,5.0,1.0,1.0,0.0,999,2.0,1,0.314,高,4
U000132,19651.93,3.0,2.0,6550.643333333333,2.0,5.0,2.0,0.0,999,2.0,1,0.268,高,2
U000133,13785.94,6.0,2.0,2167.9,3.0,1.0,1.0,0.0,999,2.0,1,0.2535,高,1
U000134,5324.099999999999,4.0,2.0,1331.0249999999999,4.0,1.0,0.0,1.0,999,2.0,1,0.1844,中,1
U000135,3093.34,2.0,1.0,1546.67,1.0,1.0,2.0,1.0,999,1.0,0,0.2738,中,4
U000136,7177.76,5.0,2.0,1575.2525,4.0,4.0,1.0,0.0,999,2.0,1,0.3742,中,3
U000137,17845.710000000003,2.0,2.0,8922.855000000001,3.0,3.0,0.0,0.0,999,2.0,1,0.309,高,3
U000138,2423.33,2.0,0.0,0.0,5.0,2.0,1.0,1.0,999,0.0,0,0.1254,低,2
U000139,13597.47,6.0,0.0,2266.245,4.0,1.0,1.0,0.0,999,0.0,0,0.1319,高,2
U000140,35207.32,5.0,4.0,7041.464,3.0,1.0,0.0,1.0,999,4.0,1,0.246,高,5
U000141,23684.329999999998,6.0,1.0,4500.701999999999,3.0,0.0,2.0,1.0,999,1.0,0,0.2266,高,1
U000142,6341.860000000001,5.0,2.0,1268.372,4.0,0.0,0.0,0.0,999,2.0,1,0.3812,中,3
U000143,1257.73,1.0,0.0,1257.73,3.0,1.0,2.0,1.0,999,0.0,0,0.267,低,2
U000144,4355.27,3.0,1.0,1451.756666666667,3.0,2.0,0.0,1.0,999,1.0,0,0.1588,中,1
U000145,2160.03,2.0,0.0,0.0,4.0,1.0,2.0,0.0,999,0.0,0,0.2217,低,3
U000146,905.98,1.0,1.0,905.98,4.0,0.0,0.0,1.0,999,1.0,0,0.1984,低,2
U000147,4046.39,2.0,0.0,2023.195,1.0,1.0,2.0,0.0,999,0.0,0,0.2125,中,3
U000148,28628.54,4.0,0.0,9307.433333333332,1.0,2.0,0.0,0.0,999,0.0,0,0.1209,高,3
U000149,1304.9,1.0,1.0,1304.9,3.0,2.0,0.0,1.0,999,1.0,0,0.1405,低,2
U000150,3249.88,3.0,1.0,878.12,3.0,0.0,0.0,0.0,999,1.0,0,0.3265,中,3
U000151,780.43,1.0,0.0,780.43,7.0,3.0,0.0,0.0,999,0.0,0,0.1333,低,3
U000152,16668.28,3.0,2.0,616.25,3.0,1.0,2.0,0.0,999,2.0,1,0.2542,高,2
U000153,6838.21,6.0,2.0,1139.7016666666666,1.0,2.0,1.0,0.0,999,2.0,1,0.2654,中,3
U000154,21444.88,7.0,2.0,3853.8900000000003,1.0,4.0,3.0,2.0,999,2.0,1,0.3842,高,3
U000155,1707.2,2.0,0.0,853.6,2.0,2.0,1.0,1.0,999,0.0,0,0.3852,低,1
U000156,1356.97,1.0,1.0,1356.97,3.0,5.0,1.0,0.0,999,1.0,0,0.1203,低,4
U000157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,999,0.0,0,0.185,低,2
U000158,534.32,1.0,1.0,534.32,2.0,2.0,2.0,0.0,999,1.0,0,0.2045,低,4
U000159,4052.4,5.0,1.0,1108.75,3.0,3.0,0.0,1.0,999,1.0,0,0.3178,中,4
U000160,10026.76,5.0,2.0,2218.603333333333,2.0,0.0,0.0,0.0,999,2.0,1,0.3436,高,2
U000161,32363.46,9.0,1.0,4346.910000000001,4.0,1.0,1.0,0.0,999,1.0,0,0.3329,高,2
U000162,7957.51,5.0,2.0,1591.502,1.0,3.0,1.0,1.0,999,2.0,1,0.1572,中,2
U000163,438.17,1.0,1.0,438.17,1.0,2.0,3.0,1.0,999,1.0,0,0.3609,低,2
U000164,3735.29,4.0,1.0,933.8225,2.0,3.0,0.0,1.0,999,1.0,0,0.1743,中,4
U000165,4351.5,3.0,0.0,1450.5,3.0,2.0,1.0,0.0,999,0.0,0,0.2982,中,3
U000166,6210.6,3.0,1.0,2339.8199999999997,5.0,2.0,1.0,0.0,999,1.0,0,0.2667,中,1
U000167,664.45,1.0,0.0,664.45,4.0,2.0,1.0,0.0,999,0.0,0,0.2419,低,3
U000168,2542.26,2.0,2.0,1271.13,5.0,4.0,0.0,1.0,999,2.0,1,0.1217,低,5
U000169,8939.25,1.0,1.0,8939.25,2.0,4.0,1.0,1.0,999,1.0,0,0.3186,中,3
U000170,10641.35,1.0,1.0,10641.35,5.0,0.0,2.0,0.0,999,1.0,0,0.3272,高,3
U000171,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,999,0.0,0,0.3552,低,3
U000172,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,999,0.0,0,0.3805,低,2
U000173,19176.13,5.0,3.0,2712.6274999999996,2.0,2.0,0.0,0.0,999,3.0,1,0.1648,高,2
U000174,9153.61,3.0,2.0,3051.2033333333334,6.0,2.0,2.0,0.0,999,2.0,1,0.2578,中,3
U000175,40275.9,3.0,2.0,13425.300000000001,1.0,1.0,0.0,1.0,999,2.0,1,0.329,高,2
U000176,3567.6,3.0,0.0,1189.2,2.0,0.0,2.0,1.0,999,0.0,0,0.1325,中,3
U000177,23655.78,3.0,0.0,7031.075,1.0,2.0,0.0,2.0,999,0.0,0,0.173,高,3
U000178,4278.13,3.0,1.0,1426.0433333333333,3.0,3.0,1.0,0.0,999,1.0,0,0.3695,中,3
U000179,7504.68,4.0,1.0,1876.17,3.0,6.0,2.0,0.0,999,1.0,0,0.1134,中,2
U000180,4223.07,4.0,1.0,1302.1333333333334,3.0,4.0,0.0,0.0,999,1.0,0,0.3202,中,1
U000181,510.31,1.0,0.0,510.31,3.0,0.0,1.0,1.0,999,0.0,0,0.1878,低,2
U000182,2456.87,4.0,3.0,614.2175,3.0,0.0,1.0,0.0,999,3.0,1,0.391,低,2
U000183,9263.33,3.0,2.0,996.05,8.0,1.0,0.0,0.0,999,2.0,1,0.3717,中,2
U000184,1594.46,2.0,0.0,1257.82,5.0,2.0,0.0,1.0,999,0.0,0,0.3219,低,3
U000185,5710.99,1.0,0.0,5710.99,6.0,1.0,0.0,2.0,999,0.0,0,0.3082,中,1
U000186,6158.68,4.0,3.0,1539.67,1.0,2.0,3.0,1.0,999,3.0,1,0.2961,中,2
U000187,25473.329999999998,5.0,2.0,1266.89,2.0,1.0,0.0,4.0,999,2.0,1,0.1089,高,2
U000188,1606.33,1.0,0.0,1606.33,5.0,1.0,0.0,0.0,999,0.0,0,0.3858,低,2
U000189,330.0,1.0,0.0,330.0,1.0,0.0,2.0,1.0,999,0.0,0,0.3123,低,2
U000190,14713.57,6.0,2.0,2452.2616666666668,1.0,0.0,0.0,2.0,999,2.0,1,0.348,高,2
U000191,21992.2,4.0,0.0,6440.973333333332,6.0,0.0,0.0,0.0,999,0.0,0,0.279,高,4
U000192,1640.13,1.0,0.0,1640.13,1.0,0.0,2.0,1.0,999,0.0,0,0.3419,低,1
U000193,8907.289999999999,6.0,4.0,1484.5483333333332,0.0,1.0,0.0,0.0,999,4.0,1,0.3742,中,3
U000194,19305.49,3.0,2.0,6435.163333333334,2.0,2.0,1.0,1.0,999,2.0,1,0.1226,高,4
U000195,63148.96,4.0,1.0,15787.24,4.0,1.0,3.0,1.0,999,1.0,0,0.1327,高,2
U000196,7535.889999999999,4.0,0.0,398.52000000000004,1.0,2.0,1.0,0.0,999,0.0,0,0.2697,中,4
U000197,8502.15,5.0,1.0,1550.8366666666668,2.0,2.0,0.0,0.0,999,1.0,0,0.2705,中,1
U000198,4435.610000000001,2.0,0.0,1484.4,6.0,0.0,2.0,0.0,999,0.0,0,0.2661,中,2
U000199,13834.92,5.0,4.0,3346.8199999999997,3.0,1.0,2.0,2.0,999,4.0,1,0.2285,高,2
U000200,6059.66,3.0,0.0,2019.8866666666665,2.0,2.0,3.0,0.0,999,0.0,0,0.2011,中,1
U000201,5805.37,2.0,1.0,5641.49,3.0,1.0,0.0,2.0,999,1.0,0,0.1272,中,2
U000202,1345.21,1.0,1.0,1345.21,1.0,0.0,1.0,1.0,999,1.0,0,0.136,低,2
U000203,6580.18,4.0,1.0,1545.7233333333334,3.0,3.0,0.0,1.0,999,1.0,0,0.1167,中,3
U000204,23248.25,2.0,1.0,11624.125,2.0,1.0,3.0,2.0,999,1.0,0,0.1006,高,4
U000205,22027.12,4.0,1.0,1933.2150000000001,2.0,3.0,0.0,0.0,999,1.0,0,0.2999,高,1
U000206,4345.84,2.0,1.0,2172.92,4.0,2.0,2.0,1.0,999,1.0,0,0.1271,中,2
U000207,6332.44,3.0,2.0,2110.813333333333,4.0,2.0,0.0,0.0,999,2.0,1,0.1013,中,2
U000208,1783.9,1.0,0.0,1783.9,7.0,4.0,0.0,1.0,999,0.0,0,0.1562,低,2
U000209,2574.09,2.0,0.0,1980.7,0.0,4.0,3.0,1.0,999,0.0,0,0.1191,低,3
U000210,6473.639999999999,3.0,2.0,2157.8799999999997,4.0,0.0,2.0,1.0,999,2.0,1,0.3145,中,2
U000211,16393.34,3.0,2.0,5464.446666666667,4.0,3.0,2.0,0.0,999,2.0,1,0.1627,高,1
U000212,6465.75,6.0,3.0,1273.09,5.0,1.0,3.0,1.0,999,3.0,1,0.1007,中,3
U000213,24740.36,4.0,1.0,6185.09,3.0,1.0,1.0,0.0,999,1.0,0,0.3748,高,4
U000214,31604.53,5.0,2.0,6422.990000000001,2.0,1.0,0.0,0.0,999,2.0,1,0.298,高,2
U000215,10565.599999999999,4.0,0.0,2641.3999999999996,2.0,3.0,0.0,0.0,999,0.0,0,0.3033,高,3
U000216,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,999,0.0,0,0.1424,低,1
U000217,0.0,0.0,0.0,0.0,6.0,3.0,1.0,2.0,999,0.0,0,0.1941,低,1
U000218,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,999,0.0,0,0.3204,低,1
U000219,9829.08,6.0,0.0,2611.2233333333334,0.0,4.0,1.0,0.0,999,0.0,0,0.3954,中,2
U000220,4687.75,3.0,2.0,1050.565,2.0,3.0,0.0,1.0,999,2.0,1,0.243,中,4
U000221,8447.69,4.0,1.0,2111.9225,4.0,1.0,1.0,0.0,999,1.0,0,0.212,中,2
U000222,871.37,1.0,0.0,871.37,4.0,2.0,1.0,0.0,999,0.0,0,0.3892,低,1
U000223,3316.55,2.0,1.0,1658.275,6.0,0.0,1.0,1.0,999,1.0,0,0.2987,中,2
U000224,1269.3,2.0,1.0,634.65,2.0,3.0,1.0,0.0,999,1.0,0,0.3096,低,2
U000225,5774.33,4.0,1.0,1752.5033333333333,5.0,4.0,1.0,2.0,999,1.0,0,0.2909,中,3
U000226,687.76,1.0,0.0,687.76,3.0,1.0,1.0,2.0,999,0.0,0,0.3696,低,2
U000227,3917.0200000000004,2.0,0.0,1270.66,3.0,1.0,1.0,1.0,999,0.0,0,0.1847,中,2
U000228,6685.5,7.0,4.0,955.0714285714286,6.0,3.0,0.0,1.0,999,4.0,1,0.3286,中,3
U000229,5790.76,5.0,3.0,1158.152,4.0,1.0,0.0,1.0,999,3.0,1,0.3662,中,1
U000230,18856.670000000002,4.0,3.0,4714.1675000000005,5.0,2.0,1.0,0.0,999,3.0,1,0.3221,高,1
U000231,6731.23,3.0,1.0,2243.7433333333333,1.0,1.0,0.0,3.0,999,1.0,0,0.1668,中,1
U000232,15852.75,5.0,2.0,2650.2833333333333,4.0,0.0,1.0,1.0,999,2.0,1,0.3668,高,2
U000233,1478.6,1.0,0.0,1478.6,2.0,0.0,2.0,1.0,999,0.0,0,0.2263,低,1
U000234,31425.440000000002,7.0,3.0,4797.908333333334,3.0,3.0,3.0,1.0,999,3.0,1,0.3007,高,2
U000235,14281.1,3.0,2.0,4760.366666666667,1.0,0.0,1.0,2.0,999,2.0,1,0.3788,高,3
U000236,11077.75,4.0,0.0,3554.476666666667,2.0,3.0,0.0,0.0,999,0.0,0,0.1725,高,3
U000237,7531.48,6.0,6.0,1255.2466666666667,7.0,1.0,0.0,0.0,999,6.0,1,0.1218,中,3
U000238,2739.33,3.0,1.0,913.11,5.0,1.0,2.0,1.0,999,1.0,0,0.2548,低,4
U000239,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,999,0.0,0,0.2073,低,2
U000240,4509.65,4.0,0.0,836.65,5.0,1.0,1.0,0.0,999,0.0,0,0.2981,中,4
U000241,27541.829999999998,4.0,3.0,6885.4574999999995,4.0,1.0,0.0,0.0,999,3.0,1,0.1234,高,2
U000242,3980.1,2.0,0.0,3397.47,3.0,1.0,2.0,2.0,999,0.0,0,0.377,中,2
U000243,29013.75,1.0,0.0,0.0,3.0,3.0,1.0,0.0,999,0.0,0,0.3871,高,2
U000244,12739.19,6.0,1.0,2506.142,7.0,0.0,0.0,0.0,999,1.0,0,0.2061,高,1
U000245,8605.75,3.0,1.0,3285.1400000000003,5.0,1.0,0.0,0.0,999,1.0,0,0.1128,中,5
