behavior_id,user_id,product_id,behavior_type,behavior_time,duration_seconds
B00000071,U002444,P001139,收藏,2026-01-31 04:32:36,0
B00000072,U001233,P000303,浏览,2026-02-17 06:01:36,146
B00000073,U000145,P000142,收藏,2025-12-13 10:17:36,0
B00000074,U002353,P001815,浏览,2025-12-22 04:00:36,124
B00000075,U001808,P000528,浏览,2026-01-28 22:43:36,396
B00000076,U003049,P001172,点击,2025-12-17 00:40:36,573
B00000077,U004043,P001525,浏览,2026-01-04 16:28:36,362
B00000078,U004140,P001411,浏览,2026-03-05 15:25:36,28
B00000079,U004203,P001798,收藏,2026-02-22 03:29:36,0
B00000080,U004246,P001053,浏览,2026-02-15 17:08:36,592
B00000081,U001288,P000260,浏览,2026-03-05 12:34:36,528
B00000082,U000110,P000961,浏览,2026-02-27 18:06:36,291
B00000083,U004846,P000114,浏览,2026-01-08 08:56:36,478
B00000084,U004820,P000008,浏览,2026-01-04 12:19:36,202
B00000085,U002791,P001328,浏览,2025-12-31 19:23:36,538
B00000086,U004424,P000255,浏览,2025-12-24 10:14:36,230
B00000087,U000862,P000084,收藏,2026-01-15 00:08:36,0
B00000088,U000461,P001020,浏览,2026-01-19 12:45:36,399
B00000089,U001105,P001040,浏览,2025-12-29 12:05:36,268
B00000090,U000744,P001327,浏览,2026-02-23 02:45:36,405
B00000091,U002411,P001823,收藏,2026-02-06 16:58:36,0
B00000092,U003793,P000096,浏览,2026-01-29 00:29:36,16
B00000093,U004994,P000122,收藏,2026-01-09 05:10:36,0
B00000094,U000443,P000226,浏览,2026-01-01 23:48:36,436
B00000095,U001834,P000029,浏览,2026-02-01 01:31:36,120
B00000096,U000886,P000588,浏览,2025-12-24 08:57:36,19
B00000097,U003605,P001348,收藏,2026-01-20 17:37:36,0
B00000098,U004357,P001143,浏览,2026-01-18 07:49:36,442
B00000099,U004376,P001195,浏览,2025-12-10 10:52:36,41
B00000100,U003222,P000034,收藏,2026-01-10 15:59:36,0
B00000101,U000152,P001798,浏览,2025-12-24 16:14:36,231
B00000102,U001597,P001329,浏览,2026-01-17 16:39:36,244
B00000103,U001672,P001212,点击,2026-03-04 16:10:36,537
B00000104,U001535,P001075,浏览,2026-01-18 06:26:36,163
B00000105,U001566,P001545,浏览,2026-03-05 04:19:36,156
B00000106,U000951,P000133,加购,2026-01-22 18:40:36,0
B00000107,U002915,P001390,浏览,2026-01-17 14:06:36,219
B00000108,U002493,P001216,浏览,2026-03-04 03:21:36,570
B00000109,U001342,P000528,浏览,2026-03-01 02:21:36,174
B00000110,U000732,P001211,浏览,2025-12-13 07:13:36,192
B00000111,U004334,P000184,点击,2026-02-27 23:53:36,250
B00000112,U000539,P001217,加购,2026-02-01 13:58:36,0
B00000113,U000769,P001108,点击,2026-02-26 03:46:36,387
B00000114,U002857,P000896,点击,2026-03-01 23:39:36,221
B00000115,U003726,P001955,浏览,2026-01-04 02:58:36,474
B00000116,U002122,P001418,收藏,2026-01-06 07:27:36,0
B00000117,U001735,P000985,浏览,2026-01-03 22:43:36,329
B00000118,U004392,P001711,浏览,2025-12-13 04:47:36,338
B00000119,U000014,P001527,加购,2026-02-20 21:15:36,0
B00000120,U004708,P000604,点击,2026-03-02 02:41:36,513
B00000121,U003675,P000803,收藏,2026-02-13 23:51:36,0
B00000122,U004491,P001086,点击,2026-02-11 18:33:36,144
B00000123,U000191,P000033,浏览,2026-01-11 19:35:36,481
B00000124,U002865,P000493,加购,2026-01-08 01:53:36,0
B00000125,U004103,P000143,点击,2026-02-26 12:32:36,43
B00000126,U001105,P001365,浏览,2025-12-26 13:44:36,346
B00000127,U002813,P001386,点击,2026-02-09 01:59:36,140
B00000128,U000652,P001955,浏览,2026-03-03 11:45:36,329
B00000129,U001381,P000123,收藏,2025-12-09 11:41:36,0
B00000130,U000802,P001522,浏览,2025-12-05 16:41:36,33
B00000131,U004545,P001139,加购,2025-12-19 23:15:36,0
B00000132,U002122,P001909,浏览,2025-12-29 21:56:36,71
B00000133,U001985,P001381,加购,2026-01-13 08:45:36,0
B00000134,U004141,P001418,点击,2025-12-10 01:35:36,561
B00000135,U001553,P001528,加购,2026-02-25 15:46:36,0
B00000136,U002793,P000592,点击,2025-12-31 17:52:36,553
B00000137,U002724,P001940,收藏,2026-01-30 20:27:36,0
B00000138,U002023,P000754,浏览,2026-01-08 21:21:36,459
B00000139,U004671,P001160,浏览,2025-12-18 15:54:36,160
B00000140,U001431,P000365,浏览,2025-12-31 09:27:36,52
B00000141,U004189,P001631,浏览,2025-12-13 22:45:36,424
B00000142,U002514,P000264,浏览,2026-03-05 13:21:36,416
B00000143,U000604,P001165,浏览,2025-12-24 11:31:36,373
B00000144,U000327,P000088,浏览,2026-01-21 08:02:36,456
B00000145,U003839,P000460,点击,2025-12-06 20:02:36,513
B00000146,U002776,P001261,浏览,2026-01-05 20:31:36,420
B00000147,U003640,P001534,加购,2026-02-22 16:52:36,0
B00000148,U000591,P001595,浏览,2026-02-22 17:18:36,503
B00000149,U001439,P001873,浏览,2025-12-20 02:37:36,481
B00000150,U003571,P001199,浏览,2026-02-12 22:25:36,564
B00000151,U000851,P001596,浏览,2025-12-14 11:09:36,521
B00000152,U000440,P001193,点击,2026-02-22 23:23:36,487
B00000153,U002996,P001076,浏览,2026-01-25 00:57:36,130
B00000154,U004424,P001252,浏览,2026-02-08 22:50:36,199
B00000155,U001666,P001272,点击,2026-02-17 13:35:36,15
B00000156,U002909,P000332,收藏,2026-01-16 00:20:36,0
B00000157,U001258,P000888,点击,2026-02-11 14:30:36,529
B00000158,U001545,P001462,浏览,2025-12-23 12:12:36,265
B00000159,U001906,P001060,浏览,2026-02-05 16:21:36,519
B00000160,U003680,P001357,点击,2026-02-08 17:20:36,220
B00000161,U001816,P000099,浏览,2026-01-31 00:10:36,513
B00000162,U002277,P001093,浏览,2026-01-31 20:07:36,139
B00000163,U003317,P000141,加购,2026-01-19 04:15:36,0
B00000164,U001451,P000494,点击,2026-01-20 02:05:36,6
B00000165,U002048,P001736,点击,2026-01-07 01:55:36,45
B00000166,U004840,P001015,浏览,2026-02-12 20:45:36,406
B00000167,U003545,P001291,浏览,2025-12-21 10:29:36,440
B00000168,U004907,P000008,浏览,2025-12-27 04:25:36,222
B00000169,U003635,P001439,浏览,2025-12-06 09:16:36,138
B00000170,U000174,P001598,收藏,2025-12-13 00:48:36,0
B00000171,U001099,P001164,点击,2026-01-28 16:17:36,347
B00000172,U001123,P001931,浏览,2025-12-06 06:03:36,442
B00000173,U002561,P001425,收藏,2026-01-30 20:06:36,0
B00000174,U002043,P001435,点击,2026-02-07 14:25:36,525
B00000175,U003779,P000845,浏览,2026-01-05 14:36:36,581
B00000176,U002177,P001933,收藏,2026-02-19 05:56:36,0
B00000177,U002422,P001897,浏览,2025-12-15 17:08:36,558
B00000178,U004332,P000854,点击,2026-02-16 08:01:36,389
B00000179,U004838,P001134,浏览,2026-01-23 11:02:36,367
B00000180,U003773,P001196,点击,2026-01-16 01:01:36,454
B00000181,U001693,P001594,浏览,2026-03-01 11:54:36,322
B00000182,U000291,P000856,浏览,2026-02-20 02:16:36,518
B00000183,U003932,P000414,加购,2026-03-04 17:12:36,0
B00000184,U001419,P000909,收藏,2026-01-04 12:17:36,0
B00000185,U001989,P001032,收藏,2025-12-13 19:27:36,0
B00000186,U000568,P000965,浏览,2026-01-19 13:28:36,253
B00000187,U003039,P000363,浏览,2026-01-05 05:27:36,415
B00000188,U002346,P000376,浏览,2026-03-03 07:47:36,481
B00000189,U003144,P001600,浏览,2025-12-17 08:01:36,23
B00000190,U002304,P001844,加购,2025-12-22 00:11:36,0
B00000191,U000309,P001926,点击,2026-01-13 06:45:36,446
B00000192,U002139,P001351,点击,2026-02-02 13:52:36,72
B00000193,U002197,P001974,点击,2026-01-17 03:17:36,585
B00000194,U000462,P000278,浏览,2026-01-03 01:13:36,511
B00000195,U004731,P001215,浏览,2026-01-26 20:39:36,371
B00000196,U003821,P000504,浏览,2026-02-04 06:32:36,13
B00000197,U004733,P001758,点击,2026-01-11 08:49:36,7
B00000198,U000646,P000079,浏览,2026-01-30 04:13:36,227
B00000199,U004614,P001573,加购,2025-12-20 22:28:36,0
B00000200,U001397,P001976,浏览,2025-12-30 16:39:36,541
B00000201,U003269,P001961,浏览,2026-01-26 02:54:36,83
B00000202,U004286,P000700,加购,2025-12-28 16:02:36,0
B00000203,U003875,P000660,浏览,2026-02-16 17:56:36,310
B00000204,U004175,P000095,收藏,2026-01-22 21:33:36,0
B00000205,U001571,P001651,浏览,2026-01-25 17:47:36,62
B00000206,U000816,P000453,浏览,2026-01-20 08:13:36,268
B00000207,U001906,P001709,点击,2026-02-12 08:38:36,214
B00000208,U004168,P000634,点击,2025-12-11 18:26:36,576
B00000209,U002091,P001338,点击,2026-02-11 13:19:36,558
B00000210,U004899,P001228,收藏,2026-02-23 17:23:36,0
B00000211,U003205,P000677,收藏,2026-02-07 09:33:36,0
B00000212,U003871,P000222,浏览,2026-02-02 17:55:36,7
B00000213,U001130,P001959,加购,2025-12-24 11:38:36,0
B00000214,U002056,P000771,加购,2026-01-03 17:16:36,0
B00000215,U001798,P001613,点击,2026-02-21 07:03:36,95
B00000216,U003415,P000587,点击,2025-12-08 09:54:36,367
B00000217,U002485,P001994,点击,2026-02-06 06:56:36,214
B00000218,U000689,P000734,点击,2026-01-16 07:53:36,76
B00000219,U003464,P001225,浏览,2026-02-02 19:14:36,366
B00000220,U000576,P001246,加购,2026-02-17 11:50:36,0
B00000221,U004996,P000605,点击,2026-02-16 09:49:36,11
B00000222,U003011,P001574,浏览,2026-01-23 12:46:36,15
B00000223,U003903,P000430,点击,2025-12-08 22:43:36,374
B00000224,U004816,P001258,浏览,2026-01-10 03:13:36,550
B00000225,U004322,P000121,浏览,2025-12-27 20:16:36,220
B00000226,U003871,P001585,点击,2026-01-02 00:51:36,384
B00000227,U002840,P001058,收藏,2025-12-20 22:24:36,0
B00000228,U003075,P001690,浏览,2025-12-18 16:49:36,199
B00000229,U004641,P000130,收藏,2026-02-03 11:15:36,0
B00000230,U002526,P001403,点击,2026-01-21 05:46:36,314
B00000231,U003482,P001592,点击,2026-03-05 03:00:36,559
B00000232,U002018,P000612,收藏,2026-01-14 19:57:36,0
B00000233,U003379,P001159,加购,2026-02-04 18:07:36,0
B00000234,U003286,P000884,浏览,2026-02-09 21:25:36,333
B00000235,U003102,P001060,加购,2026-01-26 09:33:36,0
B00000236,U004515,P000168,浏览,2026-01-21 09:57:36,573
B00000237,U003609,P000206,浏览,2026-02-10 09:29:36,305
B00000238,U001052,P001499,点击,2026-01-28 13:14:36,193
B00000239,U004705,P000794,加购,2025-12-09 07:36:36,0
B00000240,U000087,P001620,浏览,2026-01-31 09:27:36,343
B00000241,U003098,P000075,点击,2026-02-13 09:55:36,341
B00000242,U004809,P001114,点击,2025-12-29 19:09:36,412
B00000243,U002440,P000633,点击,2026-02-23 10:55:36,75
B00000244,U001278,P001635,点击,2026-02-21 01:43:36,287
B00000245,U000520,P001349,点击,2026-01-13 22:28:36,69
B00000246,U000387,P001296,浏览,2026-01-24 18:02:36,457
B00000247,U000014,P000075,点击,2025-12-31 09:55:36,538
B00000248,U004187,P001889,浏览,2026-01-06 22:07:36,313
B00000249,U003476,P000137,浏览,2025-12-12 01:13:36,228
B00000250,U003577,P000918,浏览,2026-01-10 21:19:36,467
B00000251,U000004,P000261,点击,2026-01-10 13:51:36,404
B00000252,U003070,P001236,加购,2025-12-14 19:00:36,0
B00000253,U003291,P001912,浏览,2026-01-07 06:15:36,33
B00000254,U003660,P001579,浏览,2026-01-04 00:17:36,105
B00000255,U004892,P000610,点击,2025-12-27 11:31:36,539
B00000256,U003939,P000798,浏览,2026-02-11 09:04:36,207
B00000257,U004312,P000586,收藏,2026-01-15 01:33:36,0
B00000258,U001603,P001664,浏览,2026-02-14 22:17:36,196
B00000259,U004800,P001509,加购,2025-12-05 04:22:36,0
B00000260,U004827,P001568,点击,2026-02-08 05:46:36,372
B00000261,U003974,P000216,收藏,2025-12-16 22:43:36,0
B00000262,U002543,P000785,浏览,2026-01-06 09:35:36,494
B00000263,U001643,P000364,浏览,2026-01-05 13:36:36,589
B00000264,U001490,P000067,浏览,2026-02-18 07:09:36,528
B00000265,U004059,P000231,点击,2026-01-18 20:42:36,125
B00000266,U003234,P000383,浏览,2025-12-19 01:15:36,398
B00000267,U001696,P000235,点击,2026-02-01 09:17:36,368
B00000268,U001387,P000154,收藏,2025-12-09 12:49:36,0
B00000269,U004793,P001036,浏览,2026-03-02 05:21:36,241
B00000270,U001198,P001061,浏览,2026-02-11 13:16:36,379
B00000271,U002286,P001706,浏览,2026-01-11 22:10:36,158
B00000272,U000988,P001337,加购,2026-01-23 12:58:36,0
B00000273,U003990,P000012,加购,2026-03-01 03:31:36,0
B00000274,U002960,P000174,浏览,2026-01-18 23:36:36,272
B00000275,U001262,P001249,浏览,2025-12-26 23:13:36,421
B00000276,U004726,P000155,浏览,2026-02-02 17:33:36,199
B00000277,U001256,P000846,点击,2025-12-27 19:30:36,442
B00000278,U000588,P000519,点击,2026-02-15 02:07:36,57
B00000279,U001541,P001002,点击,2026-01-09 14:16:36,271
B00000280,U000794,P000236,浏览,2026-01-05 23:59:36,193
B00000281,U003917,P001062,浏览,2026-02-01 22:46:36,340
B00000282,U002021,P001968,浏览,2025-12-28 04:09:36,591
B00000283,U000119,P000298,点击,2026-02-28 20:18:36,600
B00000284,U001214,P001268,浏览,2026-01-17 21:29:36,26
B00000285,U000614,P000123,浏览,2025-12-17 22:58:36,269
B00000286,U004582,P001516,浏览,2026-02-21 10:06:36,12
B00000287,U004418,P001691,浏览,2026-02-23 11:39:36,75
B00000288,U004235,P001930,点击,2025-12-13 23:19:36,252
B00000289,U003474,P000298,浏览,2026-01-10 10:37:36,592
B00000290,U003298,P000758,加购,2026-02-09 23:22:36,0
B00000291,U001290,P001978,浏览,2025-12-11 22:42:36,325
B00000292,U002381,P000875,浏览,2026-02-23 09:31:36,578
B00000293,U000224,P001065,点击,2026-02-09 04:22:36,593
B00000294,U004668,P001289,收藏,2026-01-26 03:06:36,0
B00000295,U002824,P001132,加购,2025-12-26 14:54:36,0
B00000296,U003015,P001250,浏览,2026-02-27 11:02:36,526
B00000297,U002641,P001198,浏览,2026-01-04 15:50:36,86
B00000298,U004905,P001129,浏览,2026-01-09 13:51:36,526
B00000299,U000987,P001885,浏览,2025-12-07 17:21:36,302
B00000300,U001024,P000338,点击,2025-12-31 01:36:36,246
B00000301,U001544,P001718,浏览,2025-12-18 09:40:36,195
B00000302,U001273,P001629,收藏,2026-02-10 01:20:36,0
B00000303,U001780,P001655,点击,2026-01-30 22:12:36,291
B00000304,U001701,P000990,浏览,2026-02-07 21:48:36,319
B00000305,U003931,P000121,点击,2026-01-11 01:30:36,375
B00000306,U002235,P001211,浏览,2026-01-29 14:09:36,513
B00000307,U004345,P000781,收藏,2025-12-19 02:18:36,0
B00000308,U003199,P000854,浏览,2026-02-21 15:24:36,323
B00000309,U003160,P001552,浏览,2026-03-03 00:18:36,244
B00000310,U003984,P000941,浏览,2026-02-05 19:59:36,324
B00000311,U001024,P000544,收藏,2026-01-27 22:53:36,0
B00000312,U003840,P000424,收藏,2025-12-18 08:01:36,0
B00000313,U000826,P001370,收藏,2026-01-11 02:00:36,0
B00000314,U002737,P001119,收藏,2026-01-22 05:14:36,0
B00000315,U003407,P001964,浏览,2026-01-04 05:38:36,192
B00000316,U002775,P001130,点击,2026-01-21 12:18:36,327
B00000317,U004633,P001910,收藏,2026-01-20 08:29:36,0
B00000318,U000492,P000994,收藏,2026-01-04 23:07:36,0
B00000319,U001860,P001711,浏览,2026-02-07 04:54:36,368
B00000320,U002340,P000881,点击,2026-02-12 01:14:36,82
B00000321,U000592,P001532,浏览,2026-02-01 10:36:36,166
B00000322,U002735,P000326,点击,2025-12-11 04:33:36,164
B00000323,U001493,P000956,点击,2025-12-15 07:03:36,575
B00000324,U000948,P000291,点击,2026-01-20 20:25:36,417
B00000325,U001576,P000331,点击,2025-12-28 11:19:36,346
B00000326,U000683,P001468,收藏,2026-01-27 12:10:36,0
B00000327,U000629,P001573,收藏,2025-12-09 08:37:36,0
B00000328,U004689,P001558,浏览,2026-02-14 03:01:36,150
B00000329,U004483,P001933,点击,2026-02-12 03:16:36,232
B00000330,U004748,P000912,浏览,2025-12-23 09:12:36,518
B00000331,U002241,P001754,浏览,2026-03-03 13:03:36,169
B00000332,U003755,P001622,浏览,2026-01-02 15:14:36,110
B00000333,U000101,P000316,浏览,2025-12-27 18:14:36,55
B00000334,U001094,P001066,浏览,2025-12-18 19:32:36,450
B00000335,U002492,P001677,点击,2026-01-14 16:25:36,162
B00000336,U003773,P001751,浏览,2026-02-19 04:20:36,556
B00000337,U000433,P001983,点击,2026-02-11 16:49:36,395
B00000338,U000537,P000672,收藏,2026-01-13 05:12:36,0
B00000339,U000601,P000279,浏览,2026-01-19 16:12:36,570
B00000340,U001667,P001707,浏览,2025-12-19 14:18:36,359
B00000341,U002756,P000160,浏览,2026-01-18 02:32:36,143
B00000342,U000319,P001264,点击,2025-12-10 00:58:36,105
B00000343,U004942,P000870,收藏,2025-12-14 12:06:36,0
B00000344,U001863,P000156,浏览,2025-12-27 05:13:36,48
B00000345,U003733,P000929,点击,2026-02-05 10:07:36,45
B00000346,U001528,P000744,浏览,2026-01-05 12:46:36,473
B00000347,U000071,P001434,点击,2026-01-07 16:39:36,234
B00000348,U000444,P001246,点击,2026-02-11 10:20:36,349
B00000349,U004695,P001361,点击,2026-03-05 04:45:36,38
B00000350,U000387,P000682,点击,2026-01-22 07:57:36,83
B00000351,U001870,P000285,浏览,2026-02-11 00:40:36,212
B00000352,U004649,P001410,收藏,2026-02-21 10:01:36,0
B00000353,U002012,P000755,浏览,2025-12-12 09:12:36,192
B00000354,U002922,P000358,浏览,2026-01-12 15:58:36,365
B00000355,U003352,P001698,浏览,2026-03-02 03:24:36,477
B00000356,U000280,P000626,浏览,2026-02-16 02:59:36,28
B00000357,U000771,P000878,点击,2025-12-31 20:00:36,316
B00000358,U000954,P001446,浏览,2025-12-21 23:12:36,298
B00000359,U004425,P000268,点击,2026-03-03 11:59:36,91
B00000360,U001560,P000948,点击,2026-02-02 17:02:36,270
B00000361,U002498,P000917,浏览,2025-12-15 06:55:36,526
B00000362,U003447,P001115,浏览,2026-02-22 11:37:36,151
B00000363,U003368,P001320,点击,2025-12-19 02:14:36,157
B00000364,U003548,P000963,浏览,2025-12-25 05:43:36,290
B00000365,U002441,P000357,浏览,2026-02-09 17:09:36,219
B00000366,U000109,P000945,浏览,2026-01-16 22:43:36,23
B00000367,U004455,P001946,加购,2026-02-03 17:08:36,0
B00000368,U000956,P001332,浏览,2026-02-08 12:30:36,192
B00000369,U003361,P001022,点击,2026-01-27 19:41:36,352
B00000370,U003490,P000318,点击,2026-03-02 16:02:36,337
B00000371,U000318,P001861,浏览,2026-01-05 08:23:36,521
B00000372,U000341,P001902,浏览,2025-12-08 03:10:36,539
B00000373,U004445,P001341,加购,2026-02-03 17:09:36,0
B00000374,U002075,P000852,收藏,2025-12-31 02:31:36,0
B00000375,U000638,P001020,点击,2025-12-18 11:43:36,576
B00000376,U004497,P000302,浏览,2026-02-13 15:09:36,378
B00000377,U004464,P001257,浏览,2026-02-25 21:51:36,338
B00000378,U002391,P000584,点击,2026-03-01 00:55:36,459
B00000379,U003989,P000619,浏览,2026-01-12 06:08:36,218
B00000380,U005000,P000988,浏览,2026-01-15 19:48:36,230
B00000381,U003194,P001437,浏览,2026-01-11 13:42:36,505
B00000382,U003937,P001074,收藏,2025-12-27 18:53:36,0
B00000383,U004282,P000361,收藏,2025-12-18 02:04:36,0
B00000384,U002367,P000514,浏览,2026-03-02 08:08:36,278
B00000385,U003003,P000960,浏览,2026-02-26 12:47:36,177
B00000386,U004690,P001526,浏览,2026-01-13 22:49:36,413
B00000387,U001566,P001090,浏览,2026-02-28 11:13:36,12
B00000388,U000793,P001510,收藏,2025-12-30 01:57:36,0
B00000389,U003705,P000870,浏览,2026-01-08 08:48:36,561
B00000390,U002401,P001707,点击,2026-02-18 19:29:36,372
B00000391,U000355,P000215,浏览,2026-01-31 03:50:36,368
B00000392,U004202,P000138,点击,2026-02-18 23:28:36,50
B00000393,U003896,P000877,浏览,2026-01-18 08:56:36,143
B00000394,U004514,P001717,浏览,2026-01-21 17:40:36,407
B00000395,U004018,P000860,收藏,2026-02-02 07:25:36,0
B00000396,U004738,P001747,浏览,2026-01-31 19:17:36,166
B00000397,U002253,P001820,浏览,2025-12-13 00:34:36,388
B00000398,U000565,P000384,点击,2026-01-06 00:07:36,117
B00000399,U003454,P000479,浏览,2026-02-02 14:17:36,277
B00000400,U001303,P000002,点击,2026-01-27 00:10:36,248
B00000401,U001751,P001693,收藏,2026-01-22 07:54:36,0
B00000402,U002591,P000820,浏览,2026-01-31 04:21:36,329
B00000403,U000258,P001533,点击,2025-12-19 20:50:36,227
B00000404,U001596,P000142,浏览,2026-02-16 18:05:36,590
B00000405,U001047,P000028,浏览,2026-01-28 22:24:36,374
B00000406,U002233,P000257,加购,2026-01-17 04:15:36,0
B00000407,U002595,P000955,点击,2026-01-27 12:53:36,331
B00000408,U004078,P001836,浏览,2026-02-13 03:58:36,422
B00000409,U003585,P001010,浏览,2026-01-25 06:53:36,129
B00000410,U001641,P001784,浏览,2026-01-08 01:20:36,481
B00000411,U001712,P001872,浏览,2026-02-13 22:47:36,170
B00000412,U000049,P000997,浏览,2025-12-07 18:29:36,19
B00000413,U000168,P001109,浏览,2025-12-18 12:44:36,487
B00000414,U001854,P001267,浏览,2026-01-15 13:58:36,68
B00000415,U003855,P001230,点击,2026-02-04 21:44:36,258
B00000416,U003742,P001963,浏览,2026-02-06 04:19:36,450
B00000417,U002069,P000785,浏览,2026-02-15 04:38:36,502
B00000418,U000392,P000438,收藏,2026-01-31 10:52:36,0
B00000419,U002951,P001295,收藏,2025-12-29 22:43:36,0
B00000420,U001450,P001584,浏览,2025-12-29 10:08:36,575
B00000421,U000229,P000479,浏览,2025-12-16 17:16:36,520
B00000422,U003253,P001582,收藏,2025-12-13 18:01:36,0
B00000423,U000352,P001020,浏览,2025-12-31 12:05:36,213
B00000424,U002273,P001201,浏览,2026-01-17 09:43:36,490
B00000425,U004038,P000420,浏览,2026-01-02 02:28:36,203
B00000426,U000234,P000782,点击,2025-12-28 07:27:36,403
B00000427,U000266,P001764,点击,2026-01-03 10:38:36,230
B00000428,U000858,P000475,浏览,2025-12-10 20:17:36,54
B00000429,U000499,P001411,收藏,2026-02-05 13:25:36,0
B00000430,U000877,P000868,浏览,2026-02-05 18:21:36,103
B00000431,U002259,P001278,浏览,2025-12-17 22:48:36,358
B00000432,U004195,P000246,浏览,2026-02-18 02:26:36,192
B00000433,U001645,P001414,点击,2026-01-19 07:09:36,488
B00000434,U002393,P001406,浏览,2025-12-23 01:40:36,499
B00000435,U003325,P001499,点击,2026-03-03 22:44:36,210
B00000436,U002952,P001558,收藏,2025-12-28 14:51:36,0
B00000437,U004620,P000534,收藏,2026-02-08 10:56:36,0
B00000438,U002648,P001956,浏览,2026-03-01 09:58:36,484
B00000439,U004952,P000736,加购,2026-02-21 12:06:36,0
